x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	1.453601757735e+02	8.553602766594e+01	4.154655170495e+01	1.353946002088e+01	1.526606657795e+00	5.506709865858e+00	2.543619329111e+01
2.154434690032e+05	1.457805438918e+02	8.662872073612e+01	4.271097764223e+01	1.471128597210e+01	2.684687369467e+00	6.625199556602e+00	2.632989836893e+01
4.641588833613e+05	1.446616594158e+02	8.860122427109e+01	4.505610167634e+01	1.712933501462e+01	5.076883939519e+00	8.870276528591e+00	2.757070331242e+01
1.000000000000e+06	1.343474826087e+02	9.108160586412e+01	4.932209513303e+01	2.181785868083e+01	9.725679411674e+00	1.290989075866e+01	2.727553003085e+01
2.154434690032e+06	9.621521560487e+01	8.915412104654e+01	5.485958633159e+01	2.937738406312e+01	1.726081178336e+01	1.793609060348e+01	1.934433851549e+01
4.641588833613e+06	4.024521134162e+01	6.783101399980e+01	5.363982723014e+01	3.522193071245e+01	2.335691723401e+01	1.734914798274e+01	7.770964229907e+00
1.000000000000e+07	1.084234511248e+01	3.005314159635e+01	3.351744153567e+01	2.678504097621e+01	1.773825004918e+01	9.306039318769e+00	2.275456745877e+00
2.154434690032e+07	2.444655550160e+00	8.363975225827e+00	1.154286955744e+01	1.067400716682e+01	7.241775415397e+00	3.314365248989e+00	5.717702986015e-01
4.641588833613e+07	4.903746943499e-01	1.914952676421e+00	2.841995069051e+00	2.801363197467e+00	1.961881778030e+00	8.870846462454e-01	1.257805040207e-01
1.000000000000e+08	7.878315571039e-02	4.080005708288e-01	6.326055756370e-01	6.383467645334e-01	4.527762876097e-01	2.009269067910e-01	1.243363473343e-02
