x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	1.854449053904e+01	-7.777860272001e+00	-4.128330333773e+01	-7.613726743443e+01	-9.697717251446e+01	-8.953818681024e+01	-5.937274478882e+01
2.154434690032e+05	1.889068949214e+01	-7.082081392380e+00	-4.008373006208e+01	-7.429132394899e+01	-9.469980886719e+01	-8.746639081467e+01	-5.799017210389e+01
4.641588833613e+05	1.945520277766e+01	-5.666936863126e+00	-3.760616654163e+01	-7.048195547945e+01	-9.001479856104e+01	-8.322276267754e+01	-5.530361487452e+01
1.000000000000e+06	1.987575993711e+01	-2.987554848311e+00	-3.273307177010e+01	-6.299172054098e+01	-8.086020582332e+01	-7.501841648428e+01	-5.076014642633e+01
2.154434690032e+06	1.777620403808e+01	1.264631458373e+00	-2.410947211348e+01	-4.967443488817e+01	-6.477678829135e+01	-6.099239410163e+01	-4.354053589200e+01
4.641588833613e+06	9.959981125151e+00	5.144011660856e+00	-1.205846560818e+01	-3.040209028405e+01	-4.192147412193e+01	-4.159006007039e+01	-2.598970034197e+01
1.000000000000e+07	3.180859324042e+00	4.204941680367e+00	-2.421771852337e+00	-1.192040138161e+01	-1.912537912656e+01	-1.939178816042e+01	-8.579109793249e+00
2.154434690032e+07	7.393386654635e-01	1.512276643093e+00	6.068503535778e-02	-2.906206406187e+00	-5.452752966402e+00	-5.392302939633e+00	-2.056897792902e+00
4.641588833613e+07	1.206012153105e-01	3.657126405105e-01	8.620805211934e-02	-5.938567754705e-01	-1.204599058138e+00	-1.182144329105e+00	-4.564995823735e-01
1.000000000000e+08	-1.023330977272e-03	7.070892211049e-02	2.404022389627e-02	-1.194351967282e-01	-2.538618935673e-01	-2.552686760315e-01	-1.137968536493e-01
