x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	1.185096854855e-01	1.391276937754e-01	1.433594739877e-01	1.453622505489e-01	1.462128111954e-01	1.451605279468e-01	1.315037516214e-01
2.154434690032e+05	1.929844960812e-01	2.839602406857e-01	2.995384177256e-01	3.053303541417e-01	3.063491819676e-01	2.992084996871e-01	2.343507747500e-01
4.641588833613e+05	1.288118355203e-01	5.389751275087e-01	6.023950453366e-01	6.216437888565e-01	6.201060949412e-01	5.821828233013e-01	2.794370570575e-01
1.000000000000e+06	-7.348996405939e-01	8.284519213644e-01	1.101253775245e+00	1.173713973351e+00	1.153360459845e+00	9.687792771946e-01	-3.188551816980e-01
2.154434690032e+06	-1.633106967596e-01	4.614798801904e-01	1.493301913794e+00	1.784693098143e+00	1.665634165898e+00	8.646159345478e-01	-6.786861506794e-01
4.641588833613e+06	4.664936091337e+00	1.568538451096e-02	3.717017479438e-01	8.763245661231e-01	5.323695026594e-01	-3.134422032446e-01	3.224318194718e+00
1.000000000000e+07	4.914399359687e+00	1.464275165107e+00	-1.273828920537e+00	-2.333882422077e+00	-2.187094731275e+00	-1.629209676069e-01	4.035031978794e+00
2.154434690032e+07	1.989445203247e+00	9.622307786711e-01	-8.943014010124e-01	-1.937535761069e+00	-1.609733014860e+00	2.259008659676e-02	1.611233962869e+00
4.641588833613e+07	5.086355780596e-01	2.660417948484e-01	-2.803606384565e-01	-5.907624280792e-01	-4.748530152822e-01	3.030504233088e-03	3.604910158225e-01
1.000000000000e+08	1.005595543389e-01	5.534897924401e-02	-6.721742461574e-02	-1.419882646758e-01	-9.855389004657e-02	-3.286937028114e-02	8.343418142850e-02
