x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	5.270204742606e-01	9.291779023814e-01	1.178969083421e+00	1.401000429059e+00	1.487352779963e+00	1.346128855766e+00	9.476031902712e-01
2.154434690032e+05	7.706752730911e-01	1.933599671652e+00	2.492751149436e+00	2.961418823177e+00	3.136784783884e+00	2.815646799645e+00	1.801596847623e+00
4.641588833613e+05	3.330689817485e-01	3.839473139525e+00	5.137193052324e+00	6.108000693816e+00	6.436548249702e+00	5.675279683752e+00	2.995987138472e+00
1.000000000000e+06	2.821380858545e+00	6.777385000945e+00	9.938184539413e+00	1.188642493119e+01	1.239037704570e+01	1.051418671816e+01	3.404339214776e+00
2.154434690032e+06	5.734556662344e+00	8.964550244140e+00	1.634445438571e+01	2.005163532014e+01	2.049513234537e+01	1.601397025823e+01	5.523131815348e-02
4.641588833613e+06	4.073382541271e+00	7.961199967378e+00	1.842843406261e+01	2.388148017509e+01	2.378875980332e+01	1.573961118243e+01	3.324462474926e+00
1.000000000000e+07	1.799100772498e+00	4.254369590281e+00	1.146643192818e+01	1.543347828245e+01	1.479356614756e+01	8.066165952329e+00	2.203482736751e+00
2.154434690032e+07	6.366544266846e-01	1.388576947863e+00	4.037521631756e+00	5.527437656943e+00	5.151796705263e+00	2.548046004665e+00	9.162863385696e-01
4.641588833613e+07	2.133161758789e-01	3.524780050764e-01	1.044861698601e+00	1.430292431203e+00	1.331361871102e+00	6.457889064744e-01	3.157066681407e-01
1.000000000000e+08	7.504515616288e-02	8.024341684348e-02	2.457604812783e-01	3.378842446703e-01	3.046057628528e-01	1.500512793164e-01	1.092417067669e-01
