x	y1	y2	y3
1.000000000000e+05	-5.832861655344e-01	-9.815581092158e-01	-1.379723720904e+00
2.154434690032e+05	-5.841922714012e-01	-9.710523983162e-01	-1.374976450020e+00
4.641588833613e+05	-6.364394209220e-01	-9.708418961455e-01	-1.402808726746e+00
1.000000000000e+06	-9.819147250922e-01	-1.073754477213e+00	-1.634790139912e+00
2.154434690032e+06	-2.373291139819e+00	-1.771126929289e+00	-2.854805475771e+00
4.641588833613e+06	-2.524425853848e+00	-4.880597602063e+00	-5.334290038879e+00
1.000000000000e+07	2.643004898347e-01	-8.391224803878e+00	-4.760995909513e+00
2.154434690032e+07	5.633802808585e-01	-4.772191343872e+00	-1.969485600078e+00
4.641588833613e+07	1.734407976652e-01	-1.371260161088e+00	-5.206629100248e-01
1.000000000000e+08	4.978392232111e-02	-3.080193372522e-01	-1.549560879208e-01
