x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	6.651119497378e-01	9.183186068030e-01	1.161883713705e+00	1.383119632715e+00	1.469822153562e+00	1.336642462423e+00	1.034931609883e+00
2.154434690032e+05	1.218973926852e+00	1.890989108402e+00	2.420073321763e+00	2.884136405411e+00	3.062518500034e+00	2.778461328893e+00	2.089202540954e+00
4.641588833613e+05	1.672077843225e+00	3.682645525844e+00	4.844709229841e+00	5.791539279752e+00	6.140128665845e+00	5.538919667592e+00	3.876855126616e+00
1.000000000000e+06	5.328923200805e-01	6.264894476220e+00	8.880390426816e+00	1.072203216143e+01	1.133558806101e+01	1.007188303951e+01	5.749547963405e+00
2.154434690032e+06	3.610027122434e-01	7.666758715702e+00	1.330600639648e+01	1.665879380222e+01	1.755471516763e+01	1.489754369962e+01	4.572257883742e+00
4.641588833613e+06	1.505663849660e-01	6.120575106300e+00	1.326495677058e+01	1.804682362272e+01	1.895711373932e+01	1.404652588547e+01	1.608666415943e+00
1.000000000000e+07	1.179521195948e-01	3.090736585169e+00	7.736514914633e+00	1.114766959853e+01	1.126203658872e+01	6.860823763216e+00	4.769949269746e-01
2.154434690032e+07	3.432546390676e-02	9.601507141820e-01	2.646261501374e+00	3.926893359010e+00	3.809519516341e+00	2.076058162030e+00	9.450975993370e-02
4.641588833613e+07	3.025131995624e-03	2.277946684204e-01	6.598212909671e-01	9.938780233270e-01	9.576336227680e-01	5.054064571131e-01	1.133762832969e-02
1.000000000000e+08	1.263272013275e-02	4.739399506093e-02	1.509965123633e-01	2.325229296966e-01	2.125243656175e-01	1.127546774975e-01	1.054243401906e-02
