x	y1	y2	y3	y4
1.000000000000e+03	-2.144828866687e-03	-1.296635420135e-03	-1.552607777865e-03	-2.426117228310e-03
1.467799267622e+03	-5.750801725145e-03	-3.480731099154e-03	-4.137163749795e-03	-6.430307236041e-03
2.154434690032e+03	-1.530758577987e-02	-9.269394976082e-03	-1.098711886899e-02	-1.704234522114e-02
3.162277660168e+03	-4.063136298546e-02	-2.460994505183e-02	-2.913946082491e-02	-4.514795905311e-02
4.641588833613e+03	-1.077047507424e-01	-6.524636961272e-02	-7.711034909624e-02	-1.175336030571e-01
6.812920690580e+03	-2.849265570223e-01	-1.715573692003e-01	-1.953225154921e-01	-2.514368706468e-01
1.000000000000e+04	-7.361522268890e-01	-4.101728663563e-01	-3.621384630342e-01	-1.564256455779e-01
1.467799267622e+04	-1.644471228821e+00	-6.594547540427e-01	-6.763321978668e-02	1.195965943954e+00
2.154434690032e+04	-2.523394425409e+00	-2.072579843734e-01	1.776397925239e+00	4.714665130574e+00
3.162277660168e+04	-2.014949929128e+00	1.581541855445e+00	5.351151214508e+00	9.377912518303e+00
4.641588833613e+04	-1.118382215204e-01	3.850988985634e+00	8.691646295222e+00	1.244074365447e+01
6.812920690580e+04	1.364088329739e+00	4.900622592146e+00	9.415667991091e+00	1.212284969783e+01
1.000000000000e+05	1.616945170377e+00	4.277120721055e+00	7.517453284347e+00	9.254783034076e+00
1.467799267622e+05	1.225367409179e+00	2.931636984657e+00	4.847639035515e+00	5.868737527696e+00
2.154434690032e+05	7.637158172272e-01	1.736871261033e+00	2.736605800337e+00	3.274793010046e+00
3.162277660168e+05	4.295289351481e-01	9.452274935405e-01	1.431344923569e+00	1.690063878745e+00
4.641588833613e+05	2.276355278908e-01	4.892127485208e-01	7.173608856126e-01	8.349231604749e-01
6.812920690580e+05	1.162510108784e-01	2.454642209197e-01	3.508493877050e-01	4.028190729135e-01
1.000000000000e+06	5.792944977458e-02	1.206974651122e-01	1.690819076274e-01	1.918263170259e-01
1.467799267622e+06	2.837932343206e-02	5.853100526857e-02	8.071341428396e-02	9.066077618456e-02
2.154434690032e+06	1.373318550821e-02	2.810377252520e-02	3.827944193843e-02	4.264689448735e-02
3.162277660168e+06	6.585479856960e-03	1.339544420543e-02	1.806953047448e-02	1.999825488291e-02
4.641588833613e+06	3.136253235269e-03	6.349448798393e-03	8.499690373924e-03	9.356858767755e-03
6.812920690580e+06	1.485707733301e-03	2.996774520362e-03	3.987388036559e-03	4.370691942279e-03
1.000000000000e+07	7.009132722032e-04	1.409674906133e-03	1.866633810918e-03	2.039012860603e-03
