x	y1	y2	y3	y4
1.000000000000e+03	NaN	NaN	-2.519417091662e-05	-3.194469342134e-05
1.467799267622e+03	-1.094279629489e-03	-1.714574967597e-04	-8.878503262273e-05	-8.467043201253e-05
2.154434690032e+03	-2.966402998380e-03	-4.984667380962e-04	-2.573344545346e-04	-2.244215728310e-04
3.162277660168e+03	-7.928268010463e-03	-1.365207791293e-03	-7.040782638019e-04	-5.948352285892e-04
4.641588833613e+03	-2.107798072058e-02	-3.662478209557e-03	-1.888172924366e-03	-1.576618890506e-03
6.812920690580e+03	-5.587678952077e-02	-9.751077768792e-03	-5.026551293279e-03	-4.178797779448e-03
1.000000000000e+04	-1.436292779997e-01	-2.588634780004e-02	-1.334419528114e-02	-1.107545624286e-02
1.467799267622e+04	-2.816964480514e-01	-6.862158652135e-02	-3.538523758219e-02	-2.935173965012e-02
2.154434690032e+04	-5.995544341811e-02	-1.798199843918e-01	-9.376555161216e-02	-7.776876680503e-02
3.162277660168e+04	1.641130814159e+00	-4.180661375244e-01	-2.473425357820e-01	-2.058983570341e-01
4.641588833613e+04	5.455249095431e+00	-6.026358721870e-01	-6.185489309836e-01	-5.401764810944e-01
6.812920690580e+04	9.888665817322e+00	5.835947362320e-02	-1.247519468343e+00	-1.301417142187e+00
1.000000000000e+05	1.216116209778e+01	2.125002623521e+00	-1.629690956640e+00	-2.344066229885e+00
1.467799267622e+05	1.106284500676e+01	4.512422066281e+00	-8.719649711697e-01	-2.449359312625e+00
2.154434690032e+05	7.948525254639e+00	5.428459272079e+00	8.728883318318e-01	-8.506332839811e-01
3.162277660168e+05	4.811560830808e+00	4.582441288567e+00	2.105919139135e+00	9.718330626840e-01
4.641588833613e+05	2.607068399725e+00	3.075688136306e+00	2.136552758225e+00	1.621374311058e+00
6.812920690580e+05	1.324411037891e+00	1.797697548146e+00	1.551380162464e+00	1.372826664131e+00
1.000000000000e+06	6.494084888147e-01	9.695082791886e-01	9.492098525973e-01	9.023048597214e-01
1.467799267622e+06	3.123178044347e-01	4.986387147019e-01	5.283088809265e-01	5.224290534097e-01
2.154434690032e+06	1.485552640135e-01	2.490729994008e-01	2.780856251932e-01	2.817068520901e-01
3.162277660168e+06	7.019054538771e-02	1.220694595424e-01	1.413403789596e-01	1.454659559818e-01
4.641588833613e+06	3.302042156130e-02	5.905074167773e-02	7.018850728851e-02	7.303166152530e-02
6.812920690580e+06	1.548736432435e-02	2.830028887969e-02	3.429662270394e-02	3.596701042445e-02
1.000000000000e+07	7.247967276349e-03	1.346967459833e-02	1.656441692491e-02	1.747204700747e-02
