x	y1	y2	y3	y4
1.000000000000e+03	-2.224147724924e-02	-1.498725599289e-02	-1.712869461007e-02	-2.419707252091e-02
1.467799267622e+03	-4.795781652848e-02	-3.231704677130e-02	-3.691439341048e-02	-5.212373509232e-02
2.154434690032e+03	-1.033395410987e-01	-6.964275133295e-02	-7.952809749872e-02	-1.122634260478e-01
3.162277660168e+03	-2.225518595248e-01	-1.500112706517e-01	-1.712747391799e-01	-2.416942642216e-01
4.641588833613e+03	-4.789059803320e-01	-3.229345018152e-01	-3.685334864421e-01	-5.179126655662e-01
6.812920690580e+03	-1.028767494142e+00	-6.931927055425e-01	-7.833250814064e-01	-1.051329803245e+00
1.000000000000e+04	-2.186813641372e+00	-1.442856518814e+00	-1.519258526195e+00	-1.701498023329e+00
1.467799267622e+04	-4.348767194574e+00	-2.628012982696e+00	-2.242289643921e+00	-1.600043650140e+00
2.154434690032e+04	-7.145239505900e+00	-3.700050087906e+00	-1.970053178111e+00	2.026789549134e-01
3.162277660168e+04	-8.727167520897e+00	-3.876406315548e+00	-2.419689298388e-01	3.243704198083e+00
4.641588833613e+04	-7.763724774411e+00	-3.180102567065e+00	1.859713969851e+00	5.748454801054e+00
6.812920690580e+04	-5.309883536052e+00	-2.183998353265e+00	2.831919262296e+00	6.343414340474e+00
1.000000000000e+05	-3.038369628978e+00	-1.303652692345e+00	2.463856297385e+00	5.166962014755e+00
1.467799267622e+05	-1.567258839647e+00	-6.990617236643e-01	1.597723098753e+00	3.366657141504e+00
2.154434690032e+05	-7.655970250319e-01	-3.498711062757e-01	8.786399362274e-01	1.883327374251e+00
3.162277660168e+05	-3.640679180931e-01	-1.685372328654e-01	4.429536841902e-01	9.616676072573e-01
4.641588833613e+05	-1.709141439915e-01	-7.962761980039e-02	2.138411982087e-01	4.676322424339e-01
6.812920690580e+05	-7.975226498225e-02	-3.726953688799e-02	1.011052261264e-01	2.219139309912e-01
1.000000000000e+06	-3.710896036577e-02	-1.736654192197e-02	4.733491346783e-02	1.040795760178e-01
1.467799267622e+06	-1.724416540709e-02	-8.075474132447e-03	2.205917995131e-02	4.854438322173e-02
2.154434690032e+06	-8.008284870176e-03	-3.751465588354e-03	1.025805838290e-02	2.258322912958e-02
3.162277660168e+06	-3.718033249655e-03	-1.741958284468e-03	4.765490561653e-03	1.049320850198e-02
4.641588833613e+06	-1.725955711157e-03	-8.086924751393e-04	2.212833554784e-03	4.872889397939e-03
6.812920690580e+06	-8.011602420329e-04	-3.753934885476e-04	1.027297911738e-03	2.262306559393e-03
1.000000000000e+07	-3.718748143154e-04	-1.742490506145e-04	4.768707309246e-04	1.050179953664e-03
