x	y1	y2	y3	y4
1.000000000000e+03	NaN	NaN	-9.138390877297e-04	-7.999968125318e-04
1.467799267622e+03	-1.325810073041e-02	-3.339451941900e-03	-1.984188380896e-03	-1.723532911700e-03
2.154434690032e+03	-2.860769097212e-02	-7.225275104019e-03	-4.290147101019e-03	-3.713202140042e-03
3.162277660168e+03	-6.166937954650e-02	-1.559651431689e-02	-9.258003890702e-03	-7.999680038114e-03
4.641588833613e+03	-1.328614907383e-01	-3.362942202953e-02	-1.996008844513e-02	-1.723399248026e-02
6.812920690580e+03	-2.860263208550e-01	-7.246910211980e-02	-4.301314043858e-02	-3.712581904919e-02
1.000000000000e+04	-6.107827385867e-01	-1.560954690820e-01	-9.266139358110e-02	-7.996802558692e-02
1.467799267622e+04	-1.209730770464e+00	-3.360136802072e-01	-1.995417186105e-01	-1.722064998219e-01
2.154434690032e+04	-1.833750285209e+00	-7.205897587416e-01	-4.294178160577e-01	-3.706402190474e-01
3.162277660168e+04	-1.506597131725e+00	-1.486981836619e+00	-9.219745883053e-01	-7.967979514170e-01
4.641588833613e+04	5.325829097519e-01	-2.633763374628e+00	-1.940022384417e+00	-1.704678656406e+00
6.812920690580e+04	3.480395126242e+00	-3.521946027618e+00	-3.725984660260e+00	-3.512184536099e+00
1.000000000000e+05	5.515029130569e+00	-3.410621644783e+00	-5.910978652247e+00	-6.261611932427e+00
1.467799267622e+05	5.589346304326e+00	-2.524401879599e+00	-7.237794675840e+00	-8.518228373457e+00
2.154434690032e+05	4.218498701545e+00	-1.570708602024e+00	-6.666347164232e+00	-8.402252845707e+00
3.162277660168e+05	2.588264726148e+00	-8.767127062810e-01	-4.742797205052e+00	-6.217260742950e+00
4.641588833613e+05	1.392215377958e+00	-4.533811030749e-01	-2.792456888557e+00	-3.739732079569e+00
6.812920690580e+05	6.954298907043e-01	-2.229362326792e-01	-1.464498141011e+00	-1.983203805742e+00
1.000000000000e+06	3.343864380045e-01	-1.065014159096e-01	-7.215758033452e-01	-9.825514775493e-01
1.467799267622e+06	1.578164987864e-01	-5.012327674483e-02	-3.445811444230e-01	-4.704535287834e-01
2.154434690032e+06	7.382532753312e-02	-2.341785922701e-02	-1.620902147113e-01	-2.215777713970e-01
3.162277660168e+06	3.439139348244e-02	-1.090292864362e-02	-7.570599178530e-02	-1.035510178265e-01
4.641588833613e+06	1.599005812185e-02	-5.067913098054e-03	-3.524168223351e-02	-4.821691887989e-02
6.812920690580e+06	7.427753721045e-03	-2.353877136388e-03	-1.637980489997e-02	-2.241334878237e-02
1.000000000000e+07	3.448914288615e-03	-1.092909564251e-03	-7.607593137861e-03	-1.041048462289e-02
