x	y1	y2	y3	y4
1.000000000000e+03	-7.106580735458e-02	-8.609309415249e-03	-2.499116168906e-03	-2.374181547736e-03
1.467799267622e+03	-1.383523750720e-01	-1.946812390750e-02	-6.376288956042e-03	-6.305082068443e-03
2.154434690032e+03	-2.692484822188e-01	-4.397736546653e-02	-1.623595802940e-02	-1.674347177193e-02
3.162277660168e+03	-5.237130684238e-01	-9.928296655298e-02	-4.130513943346e-02	-4.444367189803e-02
4.641588833613e+03	-1.017742090755e+00	-2.240044552130e-01	-1.049039175809e-01	-1.159011243512e-01
6.812920690580e+03	-1.974211813158e+00	-5.036473736260e-01	-2.576079048870e-01	-2.477388282158e-01
1.000000000000e+04	-3.800708686895e+00	-1.088613411586e+00	-4.977919837030e-01	-1.483594489509e-01
1.467799267622e+04	-6.989581002181e+00	-1.991787445538e+00	-3.485030755622e-01	1.212348757682e+00
2.154434690032e+04	-1.115087896134e+01	-2.636300271479e+00	1.247420429001e+00	4.743977485401e+00
3.162277660168e+04	-1.403931444067e+01	-2.300255585339e+00	4.501581011062e+00	9.420925554180e+00
4.641588833613e+04	-1.359711812028e+01	-1.218848219852e+00	7.610083004017e+00	1.248896155995e+01
6.812920690580e+04	-1.055533791074e+01	-2.125879910362e-01	8.378779841964e+00	1.216311881527e+01
1.000000000000e+05	-7.027402689954e+00	2.981865187399e-01	6.760036775633e+00	9.281067382222e+00
1.467799267622e+05	-4.258106833246e+00	3.981777039532e-01	4.396881660805e+00	5.883220872389e+00
2.154434690032e+05	-2.443299705424e+00	3.191181364967e-01	2.501373488795e+00	3.281963348943e+00
3.162277660168e+05	-1.358615980882e+00	2.105011594452e-01	1.317885670693e+00	1.693386154469e+00
4.641588833613e+05	-7.414033479664e-01	1.255034324949e-01	6.651770552310e-01	8.364000239102e-01
6.812920690580e+05	-3.997698442901e-01	7.049181422512e-02	3.275617271205e-01	4.034581153341e-01
1.000000000000e+06	-2.137958093916e-01	3.810090115813e-02	1.589002841279e-01	1.920977268131e-01
1.467799267622e+06	-1.136502813494e-01	2.005538926257e-02	7.632748551423e-02	9.077448163955e-02
2.154434690032e+06	-6.013266459147e-02	1.035512386468e-02	3.641142605316e-02	4.269403006044e-02
3.162277660168e+06	-3.169627712978e-02	5.268854491429e-03	1.728106706806e-02	2.001762938169e-02
4.641588833613e+06	-1.665483728562e-02	2.650169372810e-03	8.169341739216e-03	9.364766731183e-03
6.812920690580e+06	-8.727999797660e-03	1.320659707551e-03	3.849833242446e-03	4.373900611334e-03
1.000000000000e+07	-4.563463246282e-03	6.530955346873e-04	1.809657907400e-03	2.040308177798e-03
