x_0	f(x)
1.000000000000e-01	4.822472859305e-01
1.080808080808e-01	4.493821525443e-01
1.161616161616e-01	4.211427325673e-01
1.242424242424e-01	3.966273309403e-01
1.323232323232e-01	3.751546081888e-01
1.404040404040e-01	3.562001683212e-01
1.484848484848e-01	3.393538529149e-01
1.565656565657e-01	3.242902604529e-01
1.646464646465e-01	3.107479472734e-01
1.727272727273e-01	2.985144670387e-01
1.808080808081e-01	2.874154221537e-01
1.888888888889e-01	2.773063257033e-01
1.969696969697e-01	2.680664667923e-01
2.050505050505e-01	2.595942266321e-01
2.131313131313e-01	2.518034603516e-01
2.212121212121e-01	2.446206720254e-01
2.292929292929e-01	2.379827872459e-01
2.373737373737e-01	2.318353808545e-01
2.454545454545e-01	2.261312549492e-01
2.535353535354e-01	2.208292890311e-01
2.616161616162e-01	2.158935034579e-01
2.696969696970e-01	2.112922914801e-01
2.777777777778e-01	2.069977855419e-01
2.858585858586e-01	2.029853312911e-01
2.939393939394e-01	1.992330485870e-01
3.020202020202e-01	1.957214632261e-01
3.101010101010e-01	1.924331965030e-01
3.181818181818e-01	1.893527023420e-01
3.262626262626e-01	1.864660437717e-01
3.343434343434e-01	1.837607021051e-01
3.424242424242e-01	1.812254134465e-01
3.505050505051e-01	1.788500281363e-01
3.585858585859e-01	1.766253895433e-01
3.666666666667e-01	1.745432292450e-01
3.747474747475e-01	1.725960761531e-01
3.828282828283e-01	1.707771775565e-01
3.909090909091e-01	1.690804303900e-01
3.989898989899e-01	1.675003213204e-01
4.070707070707e-01	1.660318744624e-01
4.151515151515e-01	1.646706057327e-01
4.232323232323e-01	1.634124830032e-01
4.313131313131e-01	1.622538913464e-01
4.393939393939e-01	1.611916027771e-01
4.474747474747e-01	1.602227499869e-01
4.555555555556e-01	1.593448036462e-01
4.636363636364e-01	1.585555529184e-01
4.717171717172e-01	1.578530888870e-01
4.797979797980e-01	1.572357906479e-01
4.878787878788e-01	1.567023138652e-01
4.959595959596e-01	1.562515816274e-01
5.040404040404e-01	1.558827774764e-01
5.121212121212e-01	1.555953405169e-01
5.202020202020e-01	1.553889625441e-01
5.282828282828e-01	1.552635871559e-01
5.363636363636e-01	1.552194108473e-01
5.444444444444e-01	1.552568861126e-01
5.525252525253e-01	1.553767266114e-01
5.606060606061e-01	1.555799144866e-01
5.686868686869e-01	1.558677099542e-01
5.767676767677e-01	1.562416633257e-01
5.848484848485e-01	1.567036296598e-01
5.929292929293e-01	1.572557862924e-01
6.010101010101e-01	1.579006535409e-01
6.090909090909e-01	1.586411189457e-01
6.171717171717e-01	1.594804654796e-01
6.252525252525e-01	1.604224042410e-01
6.333333333333e-01	1.614711122476e-01
6.414141414141e-01	1.626312760650e-01
6.494949494949e-01	1.639081421476e-01
6.575757575758e-01	1.653075749417e-01
6.656565656566e-01	1.668361240103e-01
6.737373737374e-01	1.685011016923e-01
6.818181818182e-01	1.703106731223e-01
6.898989898990e-01	1.722739608243e-01
6.979797979798e-01	1.744011665663e-01
7.060606060606e-01	1.767037137619e-01
7.141414141414e-01	1.791944144495e-01
7.222222222222e-01	1.818876658219e-01
7.303030303030e-01	1.847996824729e-01
7.383838383838e-01	1.879487720572e-01
7.464646464646e-01	1.913556640210e-01
7.545454545455e-01	1.950439036100e-01
7.626262626263e-01	1.990403266869e-01
7.707070707071e-01	2.033756352713e-01
7.787878787879e-01	2.080850995375e-01
7.868686868687e-01	2.132094198138e-01
7.949494949495e-01	2.187957927019e-01
8.030303030303e-01	2.248992399189e-01
8.111111111111e-01	2.315842785234e-01
8.191919191919e-01	2.389270393099e-01
8.272727272727e-01	2.470179801270e-01
8.353535353535e-01	2.559653984962e-01
8.434343434343e-01	2.659000322984e-01
8.515151515152e-01	2.769811630170e-01
8.595959595960e-01	2.894048268740e-01
8.676767676768e-01	3.034150349299e-01
8.757575757576e-01	3.193193720746e-01
8.838383838384e-01	3.375111072263e-01
8.919191919192e-01	3.585012224666e-01
9.000000000000e-01	3.829659718124e-01
