x_0	f(x)
1.000000000000e-01	2.717093303872e+01
1.080808080808e-01	2.671578558739e+01
1.161616161616e-01	2.626726481584e+01
1.242424242424e-01	2.582534703200e+01
1.323232323232e-01	2.539001544129e+01
1.404040404040e-01	2.496125786092e+01
1.484848484848e-01	2.453906527344e+01
1.565656565657e-01	2.412343088439e+01
1.646464646465e-01	2.371434949269e+01
1.727272727273e-01	2.331181706022e+01
1.808080808081e-01	2.291583041155e+01
1.888888888889e-01	2.252638702080e+01
1.969696969697e-01	2.214348485757e+01
2.050505050505e-01	2.176712227417e+01
2.131313131313e-01	2.139729792172e+01
2.212121212121e-01	2.103401068709e+01
2.292929292929e-01	2.067725964490e+01
2.373737373737e-01	2.032704402059e+01
2.454545454545e-01	1.998336316173e+01
2.535353535354e-01	1.964621651559e+01
2.616161616162e-01	1.931560361129e+01
2.696969696970e-01	1.899152404574e+01
2.777777777778e-01	1.867397747218e+01
2.858585858586e-01	1.836296359108e+01
2.939393939394e-01	1.805848214259e+01
3.020202020202e-01	1.776053290049e+01
3.101010101010e-01	1.746911566713e+01
3.181818181818e-01	1.718423026925e+01
3.262626262626e-01	1.690587655451e+01
3.343434343434e-01	1.663405438865e+01
3.424242424242e-01	1.636876365299e+01
3.505050505051e-01	1.611000424241e+01
3.585858585859e-01	1.585777606364e+01
3.666666666667e-01	1.561207903373e+01
3.747474747475e-01	1.537291307887e+01
3.828282828283e-01	1.514027813327e+01
3.909090909091e-01	1.491417413825e+01
3.989898989899e-01	1.469460104149e+01
4.070707070707e-01	1.448155879633e+01
4.151515151515e-01	1.427504736122e+01
4.232323232323e-01	1.407506669921e+01
4.313131313131e-01	1.388161677753e+01
4.393939393939e-01	1.369469756727e+01
4.474747474747e-01	1.351430904304e+01
4.555555555556e-01	1.334045118275e+01
4.636363636364e-01	1.317312396740e+01
4.717171717172e-01	1.301232738092e+01
4.797979797980e-01	1.285806141007e+01
4.878787878788e-01	1.271032604431e+01
4.959595959596e-01	1.256912127579e+01
5.040404040404e-01	1.243444709932e+01
5.121212121212e-01	1.230630351238e+01
5.202020202020e-01	1.218469051519e+01
5.282828282828e-01	1.206960811076e+01
5.363636363636e-01	1.196105630502e+01
5.444444444444e-01	1.185903510699e+01
5.525252525253e-01	1.176354452892e+01
5.606060606061e-01	1.167458458655e+01
5.686868686869e-01	1.159215529939e+01
5.767676767677e-01	1.151625669098e+01
5.848484848485e-01	1.144688878932e+01
5.929292929293e-01	1.138405162725e+01
6.010101010101e-01	1.132774524293e+01
6.090909090909e-01	1.127796968044e+01
6.171717171717e-01	1.123472499037e+01
6.252525252525e-01	1.119801123059e+01
6.333333333333e-01	1.116782846708e+01
6.414141414141e-01	1.114417677489e+01
6.494949494949e-01	1.112705623932e+01
6.575757575758e-01	1.111646695713e+01
6.656565656566e-01	1.111240903817e+01
6.737373737374e-01	1.111488260704e+01
6.818181818182e-01	1.112388780524e+01
6.898989898990e-01	1.113942479358e+01
6.979797979798e-01	1.116149375505e+01
7.060606060606e-01	1.119009489827e+01
7.141414141414e-01	1.122522846158e+01
7.222222222222e-01	1.126689471793e+01
7.303030303030e-01	1.131509398081e+01
7.383838383838e-01	1.136982661144e+01
7.464646464646e-01	1.143109302751e+01
7.545454545455e-01	1.149889371397e+01
7.626262626263e-01	1.157322923633e+01
7.707070707071e-01	1.165410025722e+01
7.787878787879e-01	1.174150755715e+01
7.868686868687e-01	1.183545206077e+01
7.949494949495e-01	1.193593487031e+01
8.030303030303e-01	1.204295730867e+01
8.111111111111e-01	1.215652097524e+01
8.191919191919e-01	1.227662781934e+01
8.272727272727e-01	1.240328023761e+01
8.353535353535e-01	1.253648120501e+01
8.434343434343e-01	1.267623445327e+01
8.515151515152e-01	1.282254471782e+01
8.595959595960e-01	1.297541808493e+01
8.676767676768e-01	1.313486248878e+01
8.757575757576e-01	1.330088843767e+01
8.838383838384e-01	1.347351009940e+01
8.919191919192e-01	1.365274696497e+01
9.000000000000e-01	1.383862647395e+01
