x_0	f(x)
1.000000000000e-01	1.000938448546e+02
1.080808080808e-01	1.000814652858e+02
1.161616161616e-01	1.000715263404e+02
1.242424242424e-01	1.000634216998e+02
1.323232323232e-01	1.000567229818e+02
1.404040404040e-01	1.000511204603e+02
1.484848484848e-01	1.000463856313e+02
1.565656565657e-01	1.000423468805e+02
1.646464646465e-01	1.000388732594e+02
1.727272727273e-01	1.000358634207e+02
1.808080808081e-01	1.000332379177e+02
1.888888888889e-01	1.000309337473e+02
1.969696969697e-01	1.000289004179e+02
2.050505050505e-01	1.000270970746e+02
2.131313131313e-01	1.000254903677e+02
2.212121212121e-01	1.000240528530e+02
2.292929292929e-01	1.000227617767e+02
2.373737373737e-01	1.000215981435e+02
2.454545454545e-01	1.000205459938e+02
2.535353535354e-01	1.000195918388e+02
2.616161616162e-01	1.000187242152e+02
2.696969696970e-01	1.000179333305e+02
2.777777777778e-01	1.000172107793e+02
2.858585858586e-01	1.000165493149e+02
2.939393939394e-01	1.000159426631e+02
3.020202020202e-01	1.000153853710e+02
3.101010101010e-01	1.000148726818e+02
3.181818181818e-01	1.000144004325e+02
3.262626262626e-01	1.000139649685e+02
3.343434343434e-01	1.000135630718e+02
3.424242424242e-01	1.000131919023e+02
3.505050505051e-01	1.000128489465e+02
3.585858585859e-01	1.000125319762e+02
3.666666666667e-01	1.000122390120e+02
3.747474747475e-01	1.000119682928e+02
3.828282828283e-01	1.000117182498e+02
3.909090909091e-01	1.000114874842e+02
3.989898989899e-01	1.000112747483e+02
4.070707070707e-01	1.000110789288e+02
4.151515151515e-01	1.000108990327e+02
4.232323232323e-01	1.000107341751e+02
4.313131313131e-01	1.000105835690e+02
4.393939393939e-01	1.000104465160e+02
4.474747474747e-01	1.000103223983e+02
4.555555555556e-01	1.000102106724e+02
4.636363636364e-01	1.000101108635e+02
4.717171717172e-01	1.000100225600e+02
4.797979797980e-01	1.000099454099e+02
4.878787878788e-01	1.000098791173e+02
4.959595959596e-01	1.000098234398e+02
5.040404040404e-01	1.000097781858e+02
5.121212121212e-01	1.000097432134e+02
5.202020202020e-01	1.000097184290e+02
5.282828282828e-01	1.000097037868e+02
5.363636363636e-01	1.000096992888e+02
5.444444444444e-01	1.000097049847e+02
5.525252525253e-01	1.000097209734e+02
5.606060606061e-01	1.000097474043e+02
5.686868686869e-01	1.000097844789e+02
5.767676767677e-01	1.000098324539e+02
5.848484848485e-01	1.000098916442e+02
5.929292929293e-01	1.000099624269e+02
6.010101010101e-01	1.000100452464e+02
6.090909090909e-01	1.000101406198e+02
6.171717171717e-01	1.000102491440e+02
6.252525252525e-01	1.000103715032e+02
6.333333333333e-01	1.000105084792e+02
6.414141414141e-01	1.000106609618e+02
6.494949494949e-01	1.000108299618e+02
6.575757575758e-01	1.000110166267e+02
6.656565656566e-01	1.000112222582e+02
6.737373737374e-01	1.000114483338e+02
6.818181818182e-01	1.000116965314e+02
6.898989898990e-01	1.000119687592e+02
6.979797979798e-01	1.000122671910e+02
7.060606060606e-01	1.000125943081e+02
7.141414141414e-01	1.000129529502e+02
7.222222222222e-01	1.000133463756e+02
7.303030303030e-01	1.000137783355e+02
7.383838383838e-01	1.000142531630e+02
7.464646464646e-01	1.000147758829e+02
7.545454545455e-01	1.000153523463e+02
7.626262626263e-01	1.000159893981e+02
7.707070707071e-01	1.000166950846e+02
7.787878787879e-01	1.000174789159e+02
7.868686868687e-01	1.000183521967e+02
7.949494949495e-01	1.000193284500e+02
8.030303030303e-01	1.000204239620e+02
8.111111111111e-01	1.000216584925e+02
8.191919191919e-01	1.000230562080e+02
8.272727272727e-01	1.000246469240e+02
8.353535353535e-01	1.000264677781e+02
8.434343434343e-01	1.000285655154e+02
8.515151515152e-01	1.000309996557e+02
8.595959595960e-01	1.000338469567e+02
8.676767676768e-01	1.000372078194e+02
8.757575757576e-01	1.000412156664e+02
8.838383838384e-01	1.000460509885e+02
8.919191919192e-01	1.000519629265e+02
9.000000000000e-01	1.000593034032e+02
