x_0	f(x)
1.000000000000e-01	4.447221354709e+00
1.080808080808e-01	4.159290053793e+00
1.161616161616e-01	3.912848591736e+00
1.242424242424e-01	3.699778678168e+00
1.323232323232e-01	3.513945623921e+00
1.404040404040e-01	3.350627607429e+00
1.484848484848e-01	3.206131296771e+00
1.565656565657e-01	3.077526499128e+00
1.646464646465e-01	2.962458945125e+00
1.727272727273e-01	2.859015620371e+00
1.808080808081e-01	2.765626205213e+00
1.888888888889e-01	2.680989809921e+00
1.969696969697e-01	2.604019741355e+00
2.050505050505e-01	2.533801327280e+00
2.131313131313e-01	2.469559333149e+00
2.212121212121e-01	2.410632518832e+00
2.292929292929e-01	2.356453574239e+00
2.373737373737e-01	2.306533152369e+00
2.454545454545e-01	2.260447055831e+00
2.535353535354e-01	2.217825873569e+00
2.616161616162e-01	2.178346538290e+00
2.696969696970e-01	2.141725402032e+00
2.777777777778e-01	2.107712520959e+00
2.858585858586e-01	2.076086910373e+00
2.939393939394e-01	2.046652583468e+00
3.020202020202e-01	2.019235227264e+00
3.101010101010e-01	1.993679399754e+00
3.181818181818e-01	1.969846155808e+00
3.262626262626e-01	1.947611027754e+00
3.343434343434e-01	1.926862300865e+00
3.424242424242e-01	1.907499535265e+00
3.505050505051e-01	1.889432294764e+00
3.585858585859e-01	1.872579050212e+00
3.666666666667e-01	1.856866230749e+00
3.747474747475e-01	1.842227400894e+00
3.828282828283e-01	1.828602545201e+00
3.909090909091e-01	1.815937445242e+00
3.989898989899e-01	1.804183136168e+00
4.070707070707e-01	1.793295432182e+00
4.151515151515e-01	1.783234511935e+00
4.232323232323e-01	1.773964556282e+00
4.313131313131e-01	1.765453432015e+00
4.393939393939e-01	1.757672416188e+00
4.474747474747e-01	1.750595956469e+00
4.555555555556e-01	1.744201463694e+00
4.636363636364e-01	1.738469133386e+00
4.717171717172e-01	1.733381793548e+00
4.797979797980e-01	1.728924776470e+00
4.878787878788e-01	1.725085812738e+00
4.959595959596e-01	1.721854945938e+00
5.040404040404e-01	1.719224466932e+00
5.121212121212e-01	1.717188866833e+00
5.202020202020e-01	1.715744808118e+00
5.282828282828e-01	1.714891113580e+00
5.363636363636e-01	1.714628773075e+00
5.444444444444e-01	1.714960968302e+00
5.525252525253e-01	1.715893116103e+00
5.606060606061e-01	1.717432931078e+00
5.686868686869e-01	1.719590508605e+00
5.767676767677e-01	1.722378429680e+00
5.848484848485e-01	1.725811889390e+00
5.929292929293e-01	1.729908851227e+00
6.010101010101e-01	1.734690229936e+00
6.090909090909e-01	1.740180106157e+00
6.171717171717e-01	1.746405976764e+00
6.252525252525e-01	1.753399045537e+00
6.333333333333e-01	1.761194559760e+00
6.414141414141e-01	1.769832199353e+00
6.494949494949e-01	1.779356526480e+00
6.575757575758e-01	1.789817505105e+00
6.656565656566e-01	1.801271101870e+00
6.737373737374e-01	1.813779981956e+00
6.818181818182e-01	1.827414316432e+00
6.898989898990e-01	1.842252721034e+00
6.979797979798e-01	1.858383350682e+00
7.060606060606e-01	1.875905179354e+00
7.141414141414e-01	1.894929501708e+00
7.222222222222e-01	1.915581701322e+00
7.303030303030e-01	1.938003341166e+00
7.383838383838e-01	1.962354645737e+00
7.464646464646e-01	1.988817461928e+00
7.545454545455e-01	2.017598808680e+00
7.626262626263e-01	2.048935155432e+00
7.707070707071e-01	2.083097608803e+00
7.787878787879e-01	2.120398239417e+00
7.868686868687e-01	2.161197851030e+00
7.949494949495e-01	2.205915589376e+00
8.030303030303e-01	2.255040918505e+00
8.111111111111e-01	2.309148672949e+00
8.191919191919e-01	2.368918147197e+00
8.272727272727e-01	2.435157543726e+00
8.353535353535e-01	2.508835619451e+00
8.434343434343e-01	2.591123129974e+00
8.515151515152e-01	2.683447802541e+00
8.595959595960e-01	2.787568286224e+00
8.676767676768e-01	2.905675189430e+00
8.757575757576e-01	3.040531534533e+00
8.838383838384e-01	3.195671820835e+00
8.919191919192e-01	3.375690365707e+00
9.000000000000e-01	3.586669420349e+00
