x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.737117163993e+01	2.069561947999e+01	1.579784731126e+01	1.267784957655e+01	1.133562685479e+01	1.177118095013e+01	1.398450925908e+01
2.154434690032e+05	1.281415844898e+01	9.710878199069e+00	7.432770683581e+00	5.979836265785e+00	5.352069381553e+00	5.549472055278e+00	6.572043185612e+00
4.641588833613e+05	6.057529612365e+00	4.612214163730e+00	3.550047484519e+00	2.870891235343e+00	2.574746875579e+00	2.661609252538e+00	3.131481373518e+00
1.000000000000e+06	2.948440015662e+00	2.245635373693e+00	1.747847682962e+00	1.427849344312e+00	1.285627313143e+00	1.321180475829e+00	1.534603015316e+00
2.154434690032e+06	1.670468421931e+00	1.153168941268e+00	9.115132583385e-01	7.580496176157e-01	6.872694941505e-01	6.990231456288e-01	8.053613481742e-01
4.641588833613e+06	1.252156467023e+00	6.930914089445e-01	5.315117556033e-01	4.483746199581e-01	4.097854065570e-01	4.129891612376e-01	5.253631632616e-01
1.000000000000e+07	1.139068721464e+00	5.365188971474e-01	3.813241930876e-01	3.145764392724e-01	2.870491902097e-01	2.977639119992e-01	4.465532396670e-01
2.154434690032e+07	1.112369281556e+00	4.919223208556e-01	3.323044496699e-01	2.671343974886e-01	2.440305211469e-01	2.630209365947e-01	4.276027015903e-01
4.641588833613e+07	1.106330575439e+00	4.809493082391e-01	3.191863712400e-01	2.539704695513e-01	2.324266474696e-01	2.543836778669e-01	4.234439132681e-01
1.000000000000e+08	1.105009176822e+00	4.784832158543e-01	3.161551367728e-01	2.508956949516e-01	2.297006176267e-01	2.524108620084e-01	4.225276191908e-01
