x	y1	y2	y3
2.000000000000e+04	5.000000000139e+01	5.000000000000e+01	4.000000000000e+00
2.056269081660e+04	4.863176755290e+01	4.863176755023e+01	4.000000000000e+00
2.114121268095e+04	4.730097630625e+01	4.730097630119e+01	4.000000000000e+00
2.173601099232e+04	4.600660169697e+01	4.600660168756e+01	4.000000000000e+00
2.234754368106e+04	4.474764719808e+01	4.474764718091e+01	4.000000000000e+00
2.297628156120e+04	4.352314355325e+01	4.352314352243e+01	4.000000000000e+00
2.362270869291e+04	4.233214803113e+01	4.233214797676e+01	4.000000000000e+00
2.428732275514e+04	4.117374370053e+01	4.117374360615e+01	4.000000000000e+00
2.497063542885e+04	4.004703872578e+01	4.004703856454e+01	4.000000000000e+00
2.567317279087e+04	3.895116568219e+01	3.895116541091e+01	4.000000000000e+00
2.639547571899e+04	3.788528089106e+01	3.788528044147e+01	4.000000000000e+00
2.713810030833e+04	3.684856377442e+01	3.684856304010e+01	4.000000000000e+00
2.790161829950e+04	3.584021622901e+01	3.584021504652e+01	4.000000000000e+00
2.868661751877e+04	3.485946201993e+01	3.485946014185e+01	4.000000000000e+00
2.949370233062e+04	3.390554619400e+01	3.390554325090e+01	4.000000000000e+00
3.032349410307e+04	3.297773451310e+01	3.297772996083e+01	4.000000000000e+00
3.117663168602e+04	3.207531290822e+01	3.207530595579e+01	4.000000000000e+00
3.205377190313e+04	3.119758695466e+01	3.119757646689e+01	4.000000000000e+00
3.295559005749e+04	3.034388136935e+01	3.034386573736e+01	4.000000000000e+00
3.388278045154e+04	2.951353953115e+01	2.951351650229e+01	4.000000000000e+00
3.483605692158e+04	2.870592302517e+01	2.870588948258e+01	4.000000000000e+00
3.581615338740e+04	2.792041121220e+01	2.792036289279e+01	4.000000000000e+00
3.682382441725e+04	2.715640082432e+01	2.715633196240e+01	4.000000000000e+00
3.785984580883e+04	2.641330558755e+01	2.641320847025e+01	4.000000000000e+00
3.892501518655e+04	2.569055587250e+01	2.569042029161e+01	4.000000000000e+00
4.002015261562e+04	2.498759837330e+01	2.498741095779e+01	4.000000000000e+00
4.114610123341e+04	2.430389581506e+01	2.430363922762e+01	4.000000000000e+00
4.230372789855e+04	2.363892668941e+01	2.363857867085e+01	4.000000000000e+00
4.349392385837e+04	2.299218501714e+01	2.299171726277e+01	4.000000000000e+00
4.471760543502e+04	2.236318013628e+01	2.236255699007e+01	4.000000000000e+00
4.597571473095e+04	2.175143651323e+01	2.175061346739e+01	4.000000000000e+00
4.726922035423e+04	2.115649357370e+01	2.115541556442e+01	4.000000000000e+00
4.859911816429e+04	2.057790554952e+01	2.057650504315e+01	4.000000000000e+00
4.996643203858e+04	2.001524133635e+01	2.001343620509e+01	4.000000000000e+00
5.137221466089e+04	1.946808435715e+01	1.946577554814e+01	4.000000000000e+00
5.281754833179e+04	1.893603242485e+01	1.893310143284e+01	4.000000000000e+00
5.430354580187e+04	1.841869759795e+01	1.841500375774e+01	4.000000000000e+00
5.583135112844e+04	1.791570602209e+01	1.791108364366e+01	4.000000000000e+00
5.740214055636e+04	1.742669775052e+01	1.742095312662e+01	4.000000000000e+00
5.901712342357e+04	1.695132653671e+01	1.694423485914e+01	4.000000000000e+00
6.067754309219e+04	1.648925959267e+01	1.648056181973e+01	4.000000000000e+00
6.238467790578e+04	1.604017730712e+01	1.602957703028e+01	4.000000000000e+00
6.413984217348e+04	1.560377291854e+01	1.559093328130e+01	4.000000000000e+00
6.594438718194e+04	1.517975213935e+01	1.516429286455e+01	4.000000000000e+00
6.779970223561e+04	1.476783272843e+01	1.474932731304e+01	4.000000000000e+00
6.970721572642e+04	1.436774401106e+01	1.434571714820e+01	4.000000000000e+00
7.166839623341e+04	1.397922634646e+01	1.395315163385e+01	4.000000000000e+00
7.368475365346e+04	1.360203054497e+01	1.357132853701e+01	4.000000000000e+00
7.575784036366e+04	1.323591723836e+01	1.319995389520e+01	4.000000000000e+00
7.788925241656e+04	1.288065620828e+01	1.283874179010e+01	4.000000000000e+00
8.008063076889e+04	1.253602567922e+01	1.248741412747e+01	4.000000000000e+00
8.233366254494e+04	1.220181158370e+01	1.214570042301e+01	4.000000000000e+00
8.465008233549e+04	1.187780680805e+01	1.181333759413e+01	4.000000000000e+00
8.703167353322e+04	1.156381042848e+01	1.149006975740e+01	4.000000000000e+00
8.948026970574e+04	1.125962694688e+01	1.117564803156e+01	4.000000000000e+00
9.199775600724e+04	1.096506553666e+01	1.086983034588e+01	4.000000000000e+00
9.458607062989e+04	1.067993930840e+01	1.057238125382e+01	4.000000000000e+00
9.724720629597e+04	1.040406460481e+01	1.028307175176e+01	4.000000000000e+00
9.998321179210e+04	1.013726033402e+01	1.000167910268e+01	4.000000000000e+00
1.027961935466e+05	9.879347349117e+00	9.727986664671e+00	4.000000000000e+00
1.056883172511e+05	9.630147880978e+00	9.461783724159e+00	4.000000000000e+00
1.086618095280e+05	9.389485030177e+00	9.202865333677e+00	4.000000000000e+00
1.117189596448e+05	9.157182322409e+00	8.951032154068e+00	4.000000000000e+00
1.148621212764e+05	8.933063330566e+00	8.706090301025e+00	4.000000000000e+00
1.180937143173e+05	8.716951365206e+00	8.467851195814e+00	4.000000000000e+00
1.214162267445e+05	8.508669233781e+00	8.236131420095e+00	4.000000000000e+00
1.248322165333e+05	8.308039067751e+00	8.010752574703e+00	4.000000000000e+00
1.283443136262e+05	8.114882215497e+00	7.791541142307e+00	4.000000000000e+00
1.319552219582e+05	7.929019197903e+00	7.578328353814e+00	4.000000000000e+00
1.356677215382e+05	7.750269722587e+00	7.370950058440e+00	4.000000000000e+00
1.394846705891e+05	7.578452751963e+00	7.169246597327e+00	4.000000000000e+00
1.434090077489e+05	7.413386619795e+00	6.973062680629e+00	4.000000000000e+00
1.474437543328e+05	7.254889190419e+00	6.782247267951e+00	4.000000000000e+00
1.515920166592e+05	7.102778054607e+00	6.596653452063e+00	4.000000000000e+00
1.558569884414e+05	6.956870755891e+00	6.416138345802e+00	4.000000000000e+00
1.602419532463e+05	6.816985041235e+00	6.240562972063e+00	4.000000000000e+00
1.647502870226e+05	6.682939130061e+00	6.069792156798e+00	4.000000000000e+00
1.693854606996e+05	6.554551995918e+00	5.903694424952e+00	4.000000000000e+00
1.741510428596e+05	6.431643655408e+00	5.742141899237e+00	4.000000000000e+00
1.790507024855e+05	6.314035459408e+00	5.585010201682e+00	4.000000000000e+00
1.840882117852e+05	6.201550382075e+00	5.432178357877e+00	4.000000000000e+00
1.892674490960e+05	6.094013303623e+00	5.283528703833e+00	4.000000000000e+00
1.945924018704e+05	5.991251283380e+00	5.138946795395e+00	4.000000000000e+00
2.000671697460e+05	5.893093820133e+00	4.998321320132e+00	4.000000000000e+00
2.056959677020e+05	5.799373097279e+00	4.861544011640e+00	4.000000000000e+00
2.114831293038e+05	5.709924210818e+00	4.728509566186e+00	4.000000000000e+00
2.174331100401e+05	5.624585378645e+00	4.599115561635e+00	4.000000000000e+00
2.235504907523e+05	5.543198130057e+00	4.473262378602e+00	4.000000000000e+00
2.298399811619e+05	5.465607474792e+00	4.350853123746e+00	4.000000000000e+00
2.363064234962e+05	5.391662051252e+00	4.231793555184e+00	4.000000000000e+00
2.429547962165e+05	5.321214253893e+00	4.115992009925e+00	4.000000000000e+00
2.497902178504e+05	5.254120340039e+00	4.003359333306e+00	4.000000000000e+00
2.568179509335e+05	5.190240516611e+00	3.893808810347e+00	4.000000000000e+00
2.640434060599e+05	5.129439007444e+00	3.787256098996e+00	4.000000000000e+00
2.714721460485e+05	5.071584102068e+00	3.683619165191e+00	4.000000000000e+00
2.791098902257e+05	5.016548186886e+00	3.582818219703e+00	4.000000000000e+00
2.869625188283e+05	4.964207759848e+00	3.484775656706e+00	4.000000000000e+00
2.950360775310e+05	4.914443429744e+00	3.389415994032e+00	4.000000000000e+00
3.033367821006e+05	4.867139901288e+00	3.296665815056e+00	4.000000000000e+00
3.118710231818e+05	4.822185947193e+00	3.206453712172e+00	4.000000000000e+00
3.206453712172e+05	4.779474368445e+00	3.118710231818e+00	4.000000000000e+00
3.296665815056e+05	4.738901943937e+00	3.033367821006e+00	4.000000000000e+00
3.389415994032e+05	4.700369370648e+00	2.950360775310e+00	4.000000000000e+00
3.484775656706e+05	4.663781195462e+00	2.869625188283e+00	4.000000000000e+00
3.582818219703e+05	4.629045739710e+00	2.791098902257e+00	4.000000000000e+00
3.683619165191e+05	4.596075017455e+00	2.714721460485e+00	4.000000000000e+00
3.787256098996e+05	4.564784648467e+00	2.640434060599e+00	4.000000000000e+00
3.893808810347e+05	4.535093766806e+00	2.568179509335e+00	4.000000000000e+00
4.003359333306e+05	4.506924925835e+00	2.497902178504e+00	4.000000000000e+00
4.115992009925e+05	4.480204000442e+00	2.429547962165e+00	4.000000000000e+00
4.231793555184e+05	4.454860087177e+00	2.363064234962e+00	4.000000000000e+00
4.350853123746e+05	4.430825402960e+00	2.298399811619e+00	4.000000000000e+00
4.473262378602e+05	4.408035182935e+00	2.235504907523e+00	4.000000000000e+00
4.599115561635e+05	4.386427578012e+00	2.174331100401e+00	4.000000000000e+00
4.728509566186e+05	4.365943552552e+00	2.114831293038e+00	4.000000000000e+00
4.861544011640e+05	4.346526782642e+00	2.056959677020e+00	4.000000000000e+00
4.998321320132e+05	4.328123555311e+00	2.000671697460e+00	4.000000000000e+00
5.138946795395e+05	4.310682669009e+00	1.945924018704e+00	4.000000000000e+00
5.283528703833e+05	4.294155335653e+00	1.892674490960e+00	4.000000000000e+00
5.432178357877e+05	4.278495084463e+00	1.840882117852e+00	4.000000000000e+00
5.585010201682e+05	4.263657667790e+00	1.790507024855e+00	4.000000000000e+00
5.742141899237e+05	4.249600969128e+00	1.741510428596e+00	4.000000000000e+00
5.903694424952e+05	4.236284913423e+00	1.693854606996e+00	4.000000000000e+00
6.069792156798e+05	4.223671379823e+00	1.647502870226e+00	4.000000000000e+00
6.240562972063e+05	4.211724116923e+00	1.602419532463e+00	4.000000000000e+00
6.416138345802e+05	4.200408660592e+00	1.558569884414e+00	4.000000000000e+00
6.596653452063e+05	4.189692254429e+00	1.515920166592e+00	4.000000000000e+00
