x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.718912270657e+01	2.050556775551e+01	1.561429469623e+01	1.250249975005e+01	1.116901330003e+01	1.161384234722e+01	1.383977915227e+01
2.154434690032e+05	1.265795719854e+01	9.527246549994e+00	7.252892183200e+00	5.807369631059e+00	5.188161266609e+00	5.395282120265e+00	6.434739892386e+00
4.641588833613e+05	5.956243001870e+00	4.442362665187e+00	3.378058006373e+00	2.704622441769e+00	2.416654104598e+00	2.514184854174e+00	3.010078377350e+00
1.000000000000e+06	2.932728005256e+00	2.104948687211e+00	1.592631984649e+00	1.274754878398e+00	1.139893896925e+00	1.188112723562e+00	1.446370278902e+00
2.154434690032e+06	1.676498858242e+00	1.064758260957e+00	7.902272458793e-01	6.317676948986e-01	5.666212920184e-01	5.948858670383e-01	7.685381504397e-01
4.641588833613e+06	1.250271140296e+00	6.506702287047e-01	4.610069509919e-01	3.674572431252e-01	3.321019209489e-01	3.549785318002e-01	5.169118224925e-01
1.000000000000e+07	1.137725165764e+00	5.199365113070e-01	3.518229900162e-01	2.795084971875e-01	2.547216053806e-01	2.773348547665e-01	4.444232033676e-01
2.154434690032e+07	1.111987455640e+00	4.871991251787e-01	3.235108049509e-01	2.566443145740e-01	2.347341308180e-01	2.575604689727e-01	4.271985753036e-01
4.641588833613e+07	1.106364043399e+00	4.798537313572e-01	3.170803116047e-01	2.514463128687e-01	2.302008517451e-01	2.530980063331e-01	4.233959047711e-01
1.000000000000e+08	1.105148769538e+00	4.782564435426e-01	3.156777535427e-01	2.503123049313e-01	2.292124478463e-01	2.521262569549e-01	4.225721638863e-01
