x	y1	y2	y3	y4
1.000000000000e-01	2.222743765959e+01	2.273784515285e+00	5.302896690102e-01	4.819940291851e-01
1.080808080808e-01	2.222674945377e+01	2.267047064354e+00	5.006131271810e-01	4.491376339354e-01
1.161616161616e-01	2.222619697345e+01	2.261623977058e+00	4.754514956483e-01	4.209100091769e-01
1.242424242424e-01	2.222574648784e+01	2.257192515645e+00	4.539043553386e-01	3.964092265658e-01
1.323232323232e-01	2.222537416920e+01	2.253523479398e+00	4.352920666714e-01	3.749537230355e-01
1.404040404040e-01	2.222506279216e+01	2.250450449735e+00	4.190922784102e-01	3.560188884514e-01
1.484848484848e-01	2.222479964994e+01	2.247850215486e+00	4.048971503630e-01	3.391943594507e-01
1.565656565657e-01	2.222457520025e+01	2.245629965651e+00	3.923838092209e-01	3.241545385303e-01
1.646464646465e-01	2.222438216253e+01	2.243718702802e+00	3.812934938000e-01	3.106377947470e-01
1.727272727273e-01	2.222421490241e+01	2.242061359491e+00	3.714165462573e-01	2.984315029362e-01
1.808080808081e-01	2.222406900335e+01	2.240614687230e+00	3.625814222217e-01	2.873610948813e-01
1.888888888889e-01	2.222394096308e+01	2.239344332945e+00	3.546465178226e-01	2.772819210024e-01
1.969696969697e-01	2.222382797499e+01	2.238222726407e+00	3.474940058701e-01	2.680731154494e-01
2.050505050505e-01	2.222372776821e+01	2.237227531286e+00	3.410251278915e-01	2.596329119441e-01
2.131313131313e-01	2.222363848912e+01	2.236340494239e+00	3.351565563782e-01	2.518750253486e-01
2.212121212121e-01	2.222355861236e+01	2.235546579231e+00	3.298175541460e-01	2.447258264547e-01
2.292929292929e-01	2.222348687331e+01	2.234833309020e+00	3.249477345922e-01	2.381221143189e-01
2.373737373737e-01	2.222342221626e+01	2.234190258991e+00	3.204952799671e-01	2.320093437608e-01
2.454545454545e-01	2.222336375426e+01	2.233608664322e+00	3.164155123364e-01	2.263402031417e-01
2.535353535354e-01	2.222331073768e+01	2.233081112362e+00	3.126697387014e-01	2.210734642845e-01
2.616161616162e-01	2.222326252944e+01	2.232601299710e+00	3.092243111057e-01	2.161730457062e-01
2.696969696970e-01	2.222321858536e+01	2.232163838896e+00	3.060498567007e-01	2.116072444356e-01
2.777777777778e-01	2.222317843834e+01	2.231764103399e+00	3.031206431991e-01	2.073481021001e-01
2.858585858586e-01	2.222314168566e+01	2.231398102556e+00	3.004140529382e-01	2.033708787262e-01
2.939393939394e-01	2.222310797868e+01	2.231062379939e+00	2.979101446562e-01	1.996536135415e-01
3.020202020202e-01	2.222307701437e+01	2.230753930304e+00	2.955912865416e-01	1.961767564989e-01
3.101010101010e-01	2.222304852840e+01	2.230470131335e+00	2.934418475421e-01	1.929228576402e-01
