x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	1.112153831718e+01	1.111357389901e+01	1.111247100134e+01	1.111219994665e+01	1.111227871992e+01	1.111292590060e+01	1.111770037813e+01
2.154434690032e+05	5.179747441064e+00	5.162624702755e+00	5.160250068386e+00	5.159666332919e+00	5.159835982068e+00	5.161229609791e+00	5.171501784845e+00
4.641588833613e+05	2.441757768845e+00	2.405221667542e+00	2.400120458809e+00	2.398865172445e+00	2.399230045317e+00	2.402225745739e+00	2.424217019815e+00
1.000000000000e+06	1.210946868465e+00	1.135474608496e+00	1.124628620176e+00	1.121947161010e+00	1.122727093679e+00	1.129114631036e+00	1.175176359399e+00
2.154434690032e+06	7.055522718917e-01	5.663164103807e-01	5.442437169569e-01	5.386809094688e-01	5.403034490062e-01	5.534541897452e-01	6.422236104482e-01
4.641588833613e+06	5.377062235614e-01	3.347211543234e-01	2.958465783683e-01	2.854839692720e-01	2.885338654181e-01	3.124668216493e-01	4.514145991239e-01
1.000000000000e+07	4.941357060788e-01	2.589987728095e-01	2.063184700832e-01	1.911627837121e-01	1.956882844178e-01	2.295160730688e-01	3.985188244832e-01
2.154434690032e+07	4.842356997612e-01	2.395714532621e-01	1.813323688666e-01	1.638820514206e-01	1.691390598285e-01	2.073445072776e-01	3.861753104080e-01
4.641588833613e+07	4.820761896921e-01	2.351759361903e-01	1.754840954150e-01	1.573866783520e-01	1.628534964454e-01	2.022498070284e-01	3.834639619489e-01
1.000000000000e+08	4.816096695455e-01	2.342181506515e-01	1.741984181193e-01	1.559518760846e-01	1.614672797695e-01	2.011352917185e-01	3.828773057328e-01
