x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.222743765959e+01	2.222345371852e+01	2.222290219854e+01	2.222276666000e+01	2.222280604963e+01	2.222312967254e+01	2.222551758831e+01
2.154434690032e+05	1.032587337525e+01	1.031729476317e+01	1.031610673543e+01	1.031581475578e+01	1.031589961033e+01	1.031659674959e+01	1.032173958784e+01
4.641588833613e+05	4.811782492574e+00	4.793345493925e+00	4.790787823617e+00	4.790159065177e+00	4.790341800381e+00	4.791842890539e+00	4.802905153476e+00
1.000000000000e+06	2.273784515285e+00	2.234503589221e+00	2.229011717561e+00	2.227660013512e+00	2.228052923650e+00	2.231278457235e+00	2.254937511195e+00
2.154434690032e+06	1.138306980765e+00	1.057663959276e+00	1.046011471033e+00	1.043127938612e+00	1.043966757657e+00	1.050833152424e+00	1.100177231133e+00
4.641588833613e+06	6.789982918961e-01	5.328686035908e-01	5.093485010024e-01	5.034002326703e-01	5.051361094144e-01	5.191784011039e-01	6.129321641449e-01
1.000000000000e+07	5.302896690102e-01	3.226722816634e-01	2.821424252652e-01	2.712567914607e-01	2.744648277930e-01	2.995240638646e-01	4.425542797268e-01
2.154434690032e+07	4.924059307767e-01	2.556831417184e-01	2.021405840983e-01	1.866459603599e-01	1.912783555463e-01	2.257678729116e-01	3.963719946081e-01
4.641588833613e+07	4.838559286022e-01	2.388029060509e-01	1.803157639227e-01	1.627564852720e-01	1.680487080579e-01	2.064560278084e-01	3.856989980399e-01
1.000000000000e+08	4.819940291851e-01	2.350074732109e-01	1.752582644147e-01	1.571348402637e-01	1.626101251661e-01	2.020538936647e-01	3.833606677994e-01
