x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.153990575931e+01	2.107550492715e+01	2.065271580237e+01	2.026845407756e+01	1.992247663739e+01	1.961491700962e+01	1.934783320846e+01
2.154434690032e+05	1.000703031417e+01	9.784577474336e+00	9.587378136729e+00	9.408791927427e+00	9.248295202468e+00	9.106175572662e+00	8.986864444214e+00
4.641588833613e+05	4.664389522172e+00	4.546323777122e+00	4.452730003381e+00	4.369347339845e+00	4.295048948963e+00	4.230453809961e+00	4.185084699038e+00
1.000000000000e+06	2.206622209178e+00	2.120367047894e+00	2.072502380191e+00	2.032746384205e+00	1.998684441592e+00	1.971643558618e+00	1.971900950184e+00
2.154434690032e+06	1.109465064762e+00	1.005766822859e+00	9.742164087771e-01	9.535246252152e-01	9.386151420627e-01	9.322837362618e-01	9.760349297527e-01
4.641588833613e+06	6.686340321768e-01	5.107621142134e-01	4.776897116271e-01	4.635380430101e-01	4.584355986717e-01	4.678632531828e-01	5.658234690182e-01
1.000000000000e+07	5.274447730141e-01	3.148760115178e-01	2.699482856461e-01	2.554919454318e-01	2.561955080797e-01	2.807176740412e-01	4.288248969963e-01
2.154434690032e+07	4.917471912871e-01	2.535803767469e-01	1.985205074434e-01	1.817901198208e-01	1.857383300201e-01	2.204997935275e-01	3.931072379791e-01
4.641588833613e+07	4.837115747316e-01	2.383193609940e-01	1.794471798893e-01	1.615680374602e-01	1.667044551620e-01	2.052257038811e-01	3.849784678284e-01
1.000000000000e+08	4.819628125959e-01	2.349016974774e-01	1.750660919011e-01	1.568703824734e-01	1.623117518024e-01	2.017836797709e-01	3.832046015295e-01
