x	y1	y2	y3	y4
1.000000000000e-01	2.716980476807e+01	2.822301092818e+00	1.117040150859e+00	1.104850373201e+00
1.133333333333e-01	2.642238345023e+01	2.722738480508e+00	9.885804000898e-01	9.748411293648e-01
1.266666666667e-01	2.569298782353e+01	2.632960015356e+00	8.875142604454e-01	8.723682813930e-01
1.400000000000e-01	2.498152110140e+01	2.549910918575e+00	8.059718455372e-01	7.895697994603e-01
1.533333333333e-01	2.428792921014e+01	2.471852274729e+00	7.388233389138e-01	7.213186024337e-01
1.666666666667e-01	2.361218012125e+01	2.397740156666e+00	6.825838264120e-01	6.641286047768e-01
1.800000000000e-01	2.295425393463e+01	2.326919445015e+00	6.348045864946e-01	6.155469663065e-01
1.933333333333e-01	2.231413778290e+01	2.258963308938e+00	5.937160581024e-01	5.737978265545e-01
2.066666666667e-01	2.169182306021e+01	2.193584584372e+00	5.580088711020e-01	5.375639503832e-01
2.200000000000e-01	2.108730384156e+01	2.130584632934e+00	5.266944020607e-01	5.058477773856e-01
2.333333333333e-01	2.050057594384e+01	2.069822678996e+00	4.990130715628e-01	4.778801138920e-01
2.466666666667e-01	1.993163634782e+01	2.011196800836e+00	4.743723386144e-01	4.530584409971e-01
2.600000000000e-01	1.938048283152e+01	1.954631795146e+00	4.523037466033e-01	4.309042075806e-01
2.733333333333e-01	1.884711373104e+01	1.900071225155e+00	4.324325265720e-01	4.110326260275e-01
2.866666666667e-01	1.833152778087e+01	1.847472087570e+00	4.144556776509e-01	3.931309004200e-01
3.000000000000e-01	1.783372400486e+01	1.796801160496e+00	3.981258934228e-01	3.769422642192e-01
3.133333333333e-01	1.735370164044e+01	1.748032454970e+00	3.832395973759e-01	3.622540974474e-01
3.266666666667e-01	1.689146008489e+01	1.701145406063e+00	3.696279167458e-01	3.488889583487e-01
3.400000000000e-01	1.644699885673e+01	1.656123568895e+00	3.571497906218e-01	3.366977300823e-01
3.533333333333e-01	1.602031756757e+01	1.612953665308e+00	3.456866504569e-01	3.255543244427e-01
3.666666666667e-01	1.561141590122e+01	1.571624877918e+00	3.351382742575e-01	3.153515470325e-01
3.800000000000e-01	1.522029359816e+01	1.532128321281e+00	3.254195274637e-01	3.059978394822e-01
3.933333333333e-01	1.484695044374e+01	1.494456641592e+00	3.164577812767e-01	2.974146915778e-01
4.066666666667e-01	1.449138625917e+01	1.458603710894e+00	3.081908540694e-01	2.895345706607e-01
4.200000000000e-01	1.415360089465e+01	1.424564391660e+00	3.005653607858e-01	2.822992546231e-01
4.333333333333e-01	1.383359422396e+01	1.392334354383e+00	2.935353836895e-01	2.756584830359e-01
4.466666666667e-01	1.353136614036e+01	1.361909935628e+00	2.870613986909e-01	2.695688616312e-01
4.600000000000e-01	1.324691655330e+01	1.333288027301e+00	2.811094069712e-01	2.639929707018e-01
4.733333333333e-01	1.298024538592e+01	1.306465990324e+00	2.756502332543e-01	2.588986395141e-01
4.866666666667e-01	1.273135257308e+01	1.281441587661e+00	2.706589609260e-01	2.542583575986e-01
5.000000000000e-01	1.250023805983e+01	1.258212932869e+00	2.661144810252e-01	2.500488005626e-01
5.133333333333e-01	1.228690180033e+01	1.236778451334e+00	2.619991374913e-01	2.462504533953e-01
5.266666666667e-01	1.209134375700e+01	1.217136852035e+00	2.582984553463e-01	2.428473185175e-01
5.400000000000e-01	1.191356389993e+01	1.199287108252e+00	2.550009420376e-01	2.398266993713e-01
5.533333333333e-01	1.175356220659e+01	1.183228446055e+00	2.520979552032e-01	2.371790533886e-01
5.666666666667e-01	1.161133866168e+01	1.168960339802e+00	2.495836328483e-01	2.348979109176e-01
5.800000000000e-01	1.148689325717e+01	1.156482514219e+00	2.474548845243e-01	2.329798593053e-01
5.933333333333e-01	1.138022599261e+01	1.145794952971e+00	2.457114447369e-01	2.314245939912e-01
6.066666666667e-01	1.129133687550e+01	1.136897914026e+00	2.443559926784e-01	2.302350413561e-01
6.200000000000e-01	1.122022592205e+01	1.129791952551e+00	2.433943456762e-01	2.294175613857e-01
6.333333333333e-01	1.116689315803e+01	1.124477952671e+00	2.428357377523e-01	2.289822422280e-01
6.466666666667e-01	1.113133862006e+01	1.120957170124e+00	2.426931997355e-01	2.289433037764e-01
6.600000000000e-01	1.111356235727e+01	1.119231288884e+00	2.429840639528e-01	2.293196339907e-01
6.733333333333e-01	1.111356443347e+01	1.119302496145e+00	2.437306253176e-01	2.301354904344e-01
6.866666666667e-01	1.113134493007e+01	1.121173582056e+00	2.449610026276e-01	2.314214114489e-01
7.000000000000e-01	1.116690395002e+01	1.124848073288e+00	2.467102605450e-01	2.332153979441e-01
7.133333333333e-01	1.122024162309e+01	1.130330413652e+00	2.490218762502e-01	2.355644501387e-01
7.266666666667e-01	1.129135811309e+01	1.137626211005e+00	2.519496685218e-01	2.385265770822e-01
7.400000000000e-01	1.138025362795e+01	1.146742578964e+00	2.555603562623e-01	2.421734456409e-01
7.533333333333e-01	1.148692843378e+01	1.157688616433e+00	2.599369866578e-01	2.465939081673e-01
7.666666666667e-01	1.161138287499e+01	1.170476091007e+00	2.651835838849e-01	2.518987578354e-01
7.800000000000e-01	1.175361740354e+01	1.185120430129e+00	2.714315403011e-01	2.582272301895e-01
7.933333333333e-01	1.191363262219e+01	1.201642187328e+00	2.788485421988e-01	2.657560374230e-01
8.066666666667e-01	1.209142935020e+01	1.220069260635e+00	2.876512597063e-01	2.747121561343e-01
8.200000000000e-01	1.228700872541e+01	1.240440336399e+00	2.981237589655e-01	2.853913129857e-01
8.333333333333e-01	1.250037236811e+01	1.262810394928e+00	3.106448466379e-01	2.981853573645e-01
8.466666666667e-01	1.273152265281e+01	1.287259815619e+00	3.257297862762e-01	3.136239288647e-01
8.600000000000e-01	1.298046317802e+01	1.313910037811e+00	3.440959625017e-01	3.324399478483e-01
8.733333333333e-01	1.324719961708e+01	1.342951764295e+00	3.667701165858e-01	3.556764812984e-01
8.866666666667e-01	1.353174134846e+01	1.374698593543e+00	3.952713322485e-01	3.848690560290e-01
9.000000000000e-01	1.383410479999e+01	1.409695902540e+00	4.319403475597e-01	4.223738349091e-01
