x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.718092600581e+01	2.050072976136e+01	1.561122497340e+01	1.250006960530e+01	1.116681952007e+01	1.161210979804e+01	1.384905954813e+01
2.154434690032e+05	1.263472007808e+01	9.516983261565e+00	7.246377734354e+00	5.802213907063e+00	5.183566409992e+00	5.391762354477e+00	6.448496704577e+00
4.641588833613e+05	5.896893365182e+00	4.420672730848e+00	3.364338010462e+00	2.693789200795e+00	2.407162595227e+00	2.507119863138e+00	3.028697808829e+00
1.000000000000e+06	2.793506287465e+00	2.059634906340e+00	1.564187978954e+00	1.252438540482e+00	1.120792110027e+00	1.174248322944e+00	1.467119130168e+00
2.154434690032e+06	1.392532395689e+00	9.740776612818e-01	7.337709381272e-01	5.881102790789e-01	5.305223945617e-01	5.692555646622e-01	7.817640148795e-01
4.641588833613e+06	7.979307839066e-01	4.924286162224e-01	3.626161097916e-01	2.937381536231e-01	2.743906720316e-01	3.147002528899e-01	5.103084154839e-01
1.000000000000e+07	5.772927084977e-01	3.050150691585e-01	2.198274903357e-01	1.858653569010e-01	1.855327659947e-01	2.283044266081e-01	4.191371316125e-01
2.154434690032e+07	5.080458311894e-01	2.497042981273e-01	1.820686910014e-01	1.604048063850e-01	1.652080903708e-01	2.065440233587e-01	3.925667355778e-01
4.641588833613e+07	4.885937117437e-01	2.371375136111e-01	1.751516390047e-01	1.562572945570e-01	1.617319139352e-01	2.019640182493e-01	3.853332144718e-01
1.000000000000e+08	4.833655776831e-01	2.345828388700e-01	1.740468332122e-01	1.556553468349e-01	1.611848610880e-01	2.010515983648e-01	3.834078867508e-01
