x	y1	y2	y3
1.000000000000e+05	2.209212362061e+01	2.200362273115e+01	2.191792914862e+01
1.467799267622e+05	1.505216289163e+01	1.499132611465e+01	1.493323492144e+01
2.154434690032e+05	1.025634910213e+01	1.021410631831e+01	1.017495656849e+01
3.162277660168e+05	6.989667648341e+00	6.959721194649e+00	6.933675834415e+00
4.641588833613e+05	4.765083629808e+00	4.742969918242e+00	4.726145287892e+00
6.812920690580e+05	3.250927701119e+00	3.233353455152e+00	3.223239500477e+00
1.000000000000e+06	2.221442461750e+00	2.205799104294e+00	2.200882736097e+00
1.467799267622e+06	1.523109788342e+00	1.507101238243e+00	1.506633229621e+00
2.154434690032e+06	1.051719696130e+00	1.033070778975e+00	1.036931072018e+00
3.162277660168e+06	7.367101794623e-01	7.129745764248e-01	7.215866144664e-01
4.641588833613e+06	5.303277950205e-01	4.989120082831e-01	5.131209693943e-01
6.812920690580e+06	3.998407925158e-01	3.584707815359e-01	3.792378741422e-01
1.000000000000e+07	3.217691972351e-01	2.694643806528e-01	2.972666893381e-01
1.467799267622e+07	2.781833648048e-01	2.160303149530e-01	2.502560155032e-01
2.154434690032e+07	2.554378463990e-01	1.860857541546e-01	2.251241810440e-01
3.162277660168e+07	2.441613586666e-01	1.704079899002e-01	2.124511916449e-01
4.641588833613e+07	2.387463630768e-01	1.626182261484e-01	2.063045508511e-01
6.812920690580e+07	2.361907635245e-01	1.588728062562e-01	2.033884216503e-01
1.000000000000e+08	2.349951155738e-01	1.571039976575e-01	2.020205713670e-01
