x	y1	y2	y3
1.000000000000e+05	2.222345371879e+01	2.222276666000e+01	2.222312967270e+01
1.467799267622e+05	1.514163128878e+01	1.514062287091e+01	1.514115568060e+01
2.154434690032e+05	1.031729476374e+01	1.031581475578e+01	1.031659674993e+01
3.162277660168e+05	7.031177052709e+00	7.029005162912e+00	7.030152772547e+00
4.641588833613e+05	4.793345495161e+00	4.790159065177e+00	4.791842891289e+00
6.812920690580e+05	3.270155707551e+00	3.265483300423e+00	3.267952816435e+00
1.000000000000e+06	2.234503591872e+00	2.227660013512e+00	2.231278458845e+00
1.467799267622e+06	1.531952130791e+00	1.521952747212e+00	1.527244115999e+00
2.154434690032e+06	1.057663964877e+00	1.043127938612e+00	1.050833155842e+00
3.162277660168e+06	7.406496186768e-01	7.197393218090e-01	7.308618997205e-01
4.641588833613e+06	5.328686147077e-01	5.034002326703e-01	5.191784080232e-01
6.812920690580e+06	4.014056971407e-01	3.613715088506e-01	3.830454183436e-01
1.000000000000e+07	3.226723000221e-01	2.712567914607e-01	2.995240758581e-01
1.467799267622e+07	2.786684831319e-01	2.170690148387e-01	2.515022510994e-01
2.154434690032e+07	2.556831648871e-01	1.866459603599e-01	2.257678888233e-01
3.162277660168e+07	2.442805124383e-01	1.706921277304e-01	2.127680135128e-01
4.641588833613e+07	2.388029308574e-01	1.627564852720e-01	2.064560452085e-01
6.812920690580e+07	2.362173057116e-01	1.589385076992e-01	2.034597609718e-01
1.000000000000e+08	2.350074984180e-01	1.571348402637e-01	2.020539114438e-01
