x	y1
1.300000000000e-01	2.561266946237e+00
1.390258117895e-01	2.716829593629e+00
1.486782795671e-01	2.880519316388e+00
1.590009116329e-01	3.052586224666e+00
1.700402370387e-01	3.233267197063e+00
1.818460153167e-01	3.422782857187e+00
1.944714607699e-01	3.621334367308e+00
2.079734823340e-01	3.829100063064e+00
2.224129400936e-01	4.046231960228e+00
2.378549196076e-01	4.272852172076e+00
2.543690252813e-01	4.509049283531e+00
2.720296941064e-01	4.754874736006e+00
2.909165311844e-01	5.010339284246e+00
3.111146685453e-01	5.275409593293e+00
3.327151488779e-01	5.550005049572e+00
3.558153359031e-01	5.833994864606e+00
3.805193532390e-01	6.127195552702e+00
4.069385537358e-01	6.429368864656e+00
4.351920213965e-01	6.740220257861e+00
4.654071081458e-01	7.059397978751e+00
4.977200078658e-01	7.386492826264e+00
5.322763702877e-01	7.721038654697e+00
5.692319575046e-01	8.062513661191e+00
6.087533460660e-01	8.410342487141e+00
6.510186778183e-01	8.763899144635e+00
6.962184628754e-01	9.122510758959e+00
7.445564383389e-01	9.485462096968e+00
7.962504866396e-01	9.852000829548e+00
8.515336176371e-01	1.022134345526e+01
9.106550189078e-01	1.059268179247e+01
9.738811789524e-01	1.096518992990e+01
1.041497088387e+00	1.133803151081e+01
1.113807524534e+00	1.171036721569e+01
1.191138425196e+00	1.208136230164e+01
1.273838357820e+00	1.245019405483e+01
1.362280090650e+00	1.281605901539e+01
1.456862272978e+00	1.317817984124e+01
1.558011232048e+00	1.353581168909e+01
1.666182894712e+00	1.388824800585e+01
1.781864842516e+00	1.423482564193e+01
1.905578509461e+00	1.457492921768e+01
2.037881532357e+00	1.490799469605e+01
2.179370264359e+00	1.523351213554e+01
2.330682463018e+00	1.555102761900e+01
2.492500164958e+00	1.586014437340e+01
2.665552760143e+00	1.616052311339e+01
2.850620279589e+00	1.645188165697e+01
3.048536911334e+00	1.673399387402e+01
3.260194760526e+00	1.700668803816e+01
3.486547870568e+00	1.726984465917e+01
3.728616523450e+00	1.752339387674e+01
3.987491838648e+00	1.776731249778e+01
4.264340691323e+00	1.800162075818e+01
4.560410971985e+00	1.822637888670e+01
4.877037211337e+00	1.844168354382e+01
5.215646595642e+00	1.864766420239e+01
5.577765399740e+00	1.884447952970e+01
5.965025866692e+00	1.903231382352e+01
6.379173565093e+00	1.921137354645e+01
6.822075257176e+00	1.938188399557e+01
7.295727313213e+00	1.954408613692e+01
7.802264710108e+00	1.969823362732e+01
8.343970654762e+00	1.984459003959e+01
8.923286875583e+00	1.998342630157e+01
9.542824628525e+00	2.011501835416e+01
1.020537646727e+01	2.023964502923e+01
1.091392883061e+01	2.035758614462e+01
1.167167550376e+01	2.046912081039e+01
1.248203201425e+01	2.057452593787e+01
1.334865102741e+01	2.067407494173e+01
1.427543881062e+01	2.076803662326e+01
1.526657284074e+01	2.085667422273e+01
1.632652063406e+01	2.094024462788e+01
1.746005988344e+01	2.101899772543e+01
1.867229999376e+01	2.109317588265e+01
1.996870511237e+01	2.116301354621e+01
2.135511875871e+01	2.122873694605e+01
2.283779016377e+01	2.129056389257e+01
2.442340243842e+01	2.134870365598e+01
2.611910269741e+01	2.140335691762e+01
2.793253427476e+01	2.145471578354e+01
2.987187117605e+01	2.150296385159e+01
3.194585492246e+01	2.154827632400e+01
3.416383395311e+01	2.159082015802e+01
3.653580576286e+01	2.163075424823e+01
3.907246196587e+01	2.166822963446e+01
4.178523648783e+01	2.170338973017e+01
4.468635710412e+01	2.173637056664e+01
4.778890055627e+01	2.176730104891e+01
5.110685149508e+01	2.179630321982e+01
5.465516551621e+01	2.182349252918e+01
5.844983657215e+01	2.184897810539e+01
6.250796906465e+01	2.187286302718e+01
6.684785494249e+01	2.189524459356e+01
7.148905615203e+01	2.191621459046e+01
7.645249281230e+01	2.193585955256e+01
8.176053751199e+01	2.195426101942e+01
8.743711615344e+01	2.197149578485e+01
9.350781579817e+01	2.198763613891e+01
1.000000000000e+02	2.200275010204e+01
