x	y1	y2	y3	y4
1.000000000000e-01	1.112153831718e+01	1.210946868465e+00	4.941357060788e-01	4.816096695455e-01
1.133333333333e-01	1.111941886587e+01	1.191324343888e+00	4.438822705602e-01	4.298944613454e-01
1.266666666667e-01	1.111792005000e+01	1.177252740876e+00	4.046007830914e-01	3.892037659837e-01
1.400000000000e-01	1.111681981581e+01	1.166816435818e+00	3.731465833585e-01	3.563932525314e-01
1.533333333333e-01	1.111598755503e+01	1.158860259660e+00	3.474692492834e-01	3.294125938324e-01
1.666666666667e-01	1.111534230548e+01	1.152654478011e+00	3.261749890117e-01	3.068678888945e-01
1.800000000000e-01	1.111483167529e+01	1.147719890788e+00	3.082835147854e-01	2.877785663774e-01
1.933333333333e-01	1.111442052299e+01	1.143731323171e+00	2.930855120602e-01	2.714348819835e-01
2.066666666667e-01	1.111408455076e+01	1.140461827191e+00	2.800552750022e-01	2.573105804943e-01
2.200000000000e-01	1.111380651502e+01	1.137749107259e+00	2.687951056986e-01	2.450073195342e-01
2.333333333333e-01	1.111357389901e+01	1.135474608496e+00	2.589987728095e-01	2.342181506515e-01
2.466666666667e-01	1.111337743605e+01	1.133550093274e+00	2.504268191290e-01	2.247028471489e-01
2.600000000000e-01	1.111321014545e+01	1.131908792597e+00	2.428894656763e-01	2.162708263135e-01
2.733333333333e-01	1.111306668713e+01	1.130499434042e+00	2.362345193809e-01	2.087690732002e-01
2.866666666667e-01	1.111294291990e+01	1.129282125410e+00	2.303386562185e-01	2.020734379535e-01
3.000000000000e-01	1.111283559306e+01	1.128225463360e+00	2.251010305416e-01	1.960822575571e-01
3.133333333333e-01	1.111274212717e+01	1.127304467603e+00	2.204385185374e-01	1.907116101152e-01
3.266666666667e-01	1.111266045572e+01	1.126499082054e+00	2.162821297455e-01	1.858917357632e-01
3.400000000000e-01	1.111258890913e+01	1.125793072076e+00	2.125742668133e-01	1.815643045562e-01
3.533333333333e-01	1.111252612859e+01	1.125173202842e+00	2.092666102668e-01	1.776803082796e-01
3.666666666667e-01	1.111247100134e+01	1.124628620176e+00	2.063184700832e-01	1.741984181193e-01
3.800000000000e-01	1.111242261153e+01	1.124150379181e+00	2.036954903524e-01	1.710836946284e-01
3.933333333333e-01	1.111238020261e+01	1.123731082182e+00	2.013686242703e-01	1.683065673653e-01
4.066666666667e-01	1.111234314820e+01	1.123364598506e+00	1.993133185593e-01	1.658420234225e-01
4.200000000000e-01	1.111231092955e+01	1.123045846265e+00	1.975088620548e-01	1.636689596960e-01
4.333333333333e-01	1.111228311785e+01	1.122770621716e+00	1.959378645569e-01	1.617696650949e-01
4.466666666667e-01	1.111225936044e+01	1.122535465589e+00	1.945858403974e-01	1.601294072334e-01
4.600000000000e-01	1.111223937006e+01	1.122337558526e+00	1.934408774157e-01	1.587361043781e-01
4.733333333333e-01	1.111222291643e+01	1.122174639849e+00	1.924933767631e-01	1.575800681414e-01
4.866666666667e-01	1.111220981991e+01	1.122044945356e+00	1.917358526093e-01	1.566538060616e-01
5.000000000000e-01	1.111219994665e+01	1.121947161010e+00	1.911627837121e-01	1.559518760846e-01
5.133333333333e-01	1.111219320532e+01	1.121880390305e+00	1.907705111599e-01	1.554707873074e-01
5.266666666667e-01	1.111218954494e+01	1.121844133795e+00	1.905571785769e-01	1.552089433150e-01
5.400000000000e-01	1.111218895396e+01	1.121838279936e+00	1.905227128395e-01	1.551666261975e-01
5.533333333333e-01	1.111219146041e+01	1.121863106923e+00	1.906688449969e-01	1.553460209669e-01
5.666666666667e-01	1.111219713326e+01	1.121919295763e+00	1.909991727289e-01	1.557512817312e-01
5.800000000000e-01	1.111220608494e+01	1.122007955416e+00	1.915192674234e-01	1.563886427212e-01
5.933333333333e-01	1.111221847534e+01	1.122130661459e+00	1.922368309229e-01	1.572665792248e-01
6.066666666667e-01	1.111223451731e+01	1.122289510526e+00	1.931619093236e-01	1.583960258066e-01
6.200000000000e-01	1.111225448423e+01	1.122487193747e+00	1.943071740907e-01	1.597906620579e-01
6.333333333333e-01	1.111227871992e+01	1.122727093679e+00	1.956882844178e-01	1.614672797695e-01
6.466666666667e-01	1.111230765158e+01	1.123013410936e+00	1.973243495340e-01	1.634462501766e-01
6.600000000000e-01	1.111234180678e+01	1.123351329055e+00	1.992385160220e-01	1.657521162593e-01
6.733333333333e-01	1.111238183549e+01	1.123747229403e+00	2.014587138056e-01	1.684143436468e-01
6.866666666667e-01	1.111242853908e+01	1.124208972536e+00	2.040186062784e-01	1.714682754493e-01
7.000000000000e-01	1.111248290852e+01	1.124746269083e+00	2.069588065144e-01	1.749563527616e-01
7.133333333333e-01	1.111254617534e+01	1.125371172953e+00	2.103284447979e-01	1.789296858235e-01
7.266666666667e-01	1.111261988029e+01	1.126098744122e+00	2.141872061805e-01	1.834500942196e-01
7.400000000000e-01	1.111270596680e+01	1.126947950150e+00	2.186080056285e-01	1.885927832730e-01
7.533333333333e-01	1.111280691044e+01	1.127942909281e+00	2.236805408947e-01	1.944498962528e-01
7.666666666667e-01	1.111292590060e+01	1.129114631036e+00	2.295160730688e-01	2.011352917185e-01
7.800000000000e-01	1.111306710028e+01	1.130503495439e+00	2.362539544173e-01	2.087910648366e-01
7.933333333333e-01	1.111323602497e+01	1.132162852476e+00	2.440706912015e-01	2.175965994250e-01
8.066666666667e-01	1.111344010736e+01	1.134164360983e+00	2.531927635264e-01	2.277813716701e-01
8.200000000000e-01	1.111368956062e+01	1.136606100466e+00	2.639151480967e-01	2.396434500935e-01
8.333333333333e-01	1.111399873588e+01	1.139625236212e+00	2.766287345706e-01	2.535768809807e-01
8.466666666667e-01	1.111438832765e+01	1.143418416661e+00	2.918620450441e-01	2.701133671537e-01
8.600000000000e-01	1.111488909402e+01	1.148275816274e+00	3.103467867052e-01	2.899877683559e-01
8.733333333333e-01	1.111554841523e+01	1.154640354834e+00	3.331247916160e-01	3.142449754045e-01
8.866666666667e-01	1.111644247676e+01	1.163215851413e+00	3.617304172411e-01	3.444222300247e-01
9.000000000000e-01	1.111770037813e+01	1.175176359399e+00	3.985188244832e-01	3.828773057328e-01
