x	y1	y2	y3
1.000000000000e+05	1.111357389954e+01	1.111219994665e+01	1.111292590092e+01
1.467799267622e+05	7.573526295209e+00	7.571509980046e+00	7.572575374537e+00
2.154434690032e+05	5.162624703903e+00	5.159666332919e+00	5.161229610487e+00
3.162277660168e+05	3.521422114643e+00	3.517083528040e+00	3.519376502779e+00
4.641588833613e+05	2.405221670005e+00	2.398865172445e+00	2.402225747235e+00
6.812920690580e+05	1.647583263684e+00	1.638289792584e+00	1.643206581532e+00
1.000000000000e+06	1.135474613713e+00	1.121947161010e+00	1.129114634217e+00
1.467799267622e+06	7.923196044671e-01	7.728086369438e-01	7.831778945042e-01
2.154434690032e+06	5.663164208410e-01	5.386809094688e-01	5.534541962360e-01
3.162277660168e+06	4.221273353807e-01	3.842581436842e-01	4.047082234063e-01
4.641588833613e+06	3.347211720212e-01	2.854839692720e-01	3.124668331461e-01
6.812920690580e+06	2.851888081401e-01	2.253785482259e-01	2.587081659041e-01
1.000000000000e+07	2.589987956816e-01	1.911627837121e-01	2.295160887206e-01
1.467799267622e+07	2.458964288820e-01	1.729967845045e-01	2.146213236236e-01
2.154434690032e+07	2.395714779890e-01	1.638820514206e-01	2.073445246031e-01
3.162277660168e+07	2.365782429841e-01	1.594744454934e-01	2.038786989131e-01
4.641588833613e+07	2.351759613793e-01	1.573866783520e-01	2.022498247904e-01
6.812920690580e+07	2.345222308088e-01	1.564081534178e-01	2.014892939107e-01
1.000000000000e+08	2.342181759435e-01	1.559518760846e-01	2.011353095789e-01
