x	y1	y2	y3
1.000000000000e+05	2.209457909559e+01	2.200675754672e+01	2.192068478494e+01
2.154434690032e+05	1.025737198933e+01	1.021660615667e+01	1.017666993493e+01
4.641588833613e+05	4.763031683894e+00	4.744101341755e+00	4.725552429422e+00
1.000000000000e+06	2.212776018315e+00	2.203994523637e+00	2.195388464692e+00
2.154434690032e+06	1.033144439435e+00	1.024974342022e+00	1.021666562861e+00
4.641588833613e+06	5.197479627609e-01	4.799746036729e-01	4.928864169793e-01
1.000000000000e+07	3.235273844841e-01	2.502571513068e-01	2.859118255393e-01
2.154434690032e+07	2.571317947143e-01	1.781445610385e-01	2.214073038563e-01
4.641588833613e+07	2.392178321737e-01	1.605548604341e-01	2.053866729802e-01
1.000000000000e+08	2.351245526427e-01	1.566523208233e-01	2.017413010161e-01
