x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.213914145676e+01	2.209457909559e+01	2.205045669524e+01	2.200675754672e+01	2.196350304882e+01	2.192068478494e+01	2.187830486237e+01
2.154434690032e+05	1.027807131388e+01	1.025737198933e+01	1.023688870057e+01	1.021660615667e+01	1.019652792674e+01	1.017666993493e+01	1.015700193285e+01
4.641588833613e+05	4.772676172722e+00	4.763031683894e+00	4.753516472443e+00	4.744101341755e+00	4.734780281288e+00	4.725552429422e+00	4.716383070637e+00
1.000000000000e+06	2.230851640299e+00	2.212776018315e+00	2.208369051288e+00	2.203994523637e+00	2.199663277881e+00	2.195388464692e+00	2.193607374464e+00
2.154434690032e+06	1.139143889325e+00	1.033144439435e+00	1.027161207985e+00	1.024974342022e+00	1.022977944489e+00	1.021666562861e+00	1.066840009635e+00
4.641588833613e+06	7.230806674090e-01	5.197479627609e-01	4.873117276166e-01	4.799746036729e-01	4.795847952403e-01	4.928864169793e-01	6.230492938105e-01
1.000000000000e+07	5.640837965325e-01	3.235273844841e-01	2.676709991780e-01	2.502571513068e-01	2.528857704722e-01	2.859118255393e-01	4.577508413288e-01
2.154434690032e+07	5.043901303092e-01	2.571317947143e-01	1.968921115921e-01	1.781445610385e-01	1.828385680060e-01	2.214073038563e-01	4.017719741382e-01
4.641588833613e+07	4.867840547664e-01	2.392178321737e-01	1.789771624859e-01	1.605548604341e-01	1.659107753982e-01	2.053866729802e-01	3.868032331193e-01
1.000000000000e+08	4.826032859797e-01	2.351245526427e-01	1.749559925421e-01	1.566523208233e-01	1.621540051246e-01	2.017413010161e-01	3.836321832172e-01
