x_0	f(x)
1.000000000000e+00	6.664470746576e+00
2.000000000000e+00	6.664864586234e+00
3.000000000000e+00	6.665173523003e+00
4.000000000000e+00	6.665420459455e+00
5.000000000000e+00	6.665621360837e+00
6.000000000000e+00	6.665787472989e+00
7.000000000000e+00	6.665926815246e+00
8.000000000000e+00	6.666045187386e+00
9.000000000000e+00	6.666146850593e+00
1.000000000000e+01	6.666234989530e+00
1.100000000000e+01	6.666312027232e+00
1.200000000000e+01	6.666379840847e+00
1.300000000000e+01	6.666439910452e+00
1.400000000000e+01	6.666493422555e+00
1.500000000000e+01	6.666541342791e+00
1.600000000000e+01	6.666584467604e+00
1.700000000000e+01	6.666623461480e+00
1.800000000000e+01	6.666658884198e+00
1.900000000000e+01	6.666691211098e+00
2.000000000000e+01	6.666720848449e+00
2.100000000000e+01	6.666748145283e+00
2.200000000000e+01	6.666773402701e+00
2.300000000000e+01	6.666796881294e+00
2.400000000000e+01	6.666818807165e+00
2.500000000000e+01	6.666839376879e+00
2.600000000000e+01	6.666858761582e+00
2.700000000000e+01	6.666877110463e+00
2.800000000000e+01	6.666894553688e+00
2.900000000000e+01	6.666911204906e+00
3.000000000000e+01	6.666927163397e+00
3.100000000000e+01	6.666942515923e+00
3.200000000000e+01	6.666957338333e+00
3.300000000000e+01	6.666971696947e+00
3.400000000000e+01	6.666985649770e+00
3.500000000000e+01	6.666999247537e+00
3.600000000000e+01	6.667012534628e+00
3.700000000000e+01	6.667025549871e+00
3.800000000000e+01	6.667038327238e+00
3.900000000000e+01	6.667050896452e+00
4.000000000000e+01	6.667063283519e+00
4.100000000000e+01	6.667075511196e+00
4.200000000000e+01	6.667087599395e+00
4.300000000000e+01	6.667099565540e+00
4.400000000000e+01	6.667111424879e+00
4.500000000000e+01	6.667123190755e+00
4.600000000000e+01	6.667134874841e+00
4.700000000000e+01	6.667146487355e+00
4.800000000000e+01	6.667158037238e+00
4.900000000000e+01	6.667169532312e+00
5.000000000000e+01	6.667180979425e+00
5.100000000000e+01	6.667192384567e+00
5.200000000000e+01	6.667203752981e+00
5.300000000000e+01	6.667215089255e+00
5.400000000000e+01	6.667136764411e+00
5.500000000000e+01	6.666994668088e+00
5.600000000000e+01	6.666880685865e+00
5.700000000000e+01	6.666788258343e+00
5.800000000000e+01	6.666712324385e+00
5.900000000000e+01	6.666649009237e+00
6.000000000000e+01	6.666595348296e+00
6.100000000000e+01	6.666549073443e+00
6.200000000000e+01	6.666508449419e+00
6.300000000000e+01	6.666472148641e+00
6.400000000000e+01	6.666439155422e+00
6.500000000000e+01	6.666408725760e+00
6.600000000000e+01	6.666380185635e+00
6.700000000000e+01	6.666353135088e+00
6.800000000000e+01	6.666327234037e+00
6.900000000000e+01	6.666302179954e+00
7.000000000000e+01	6.666277793542e+00
7.100000000000e+01	6.666253922367e+00
7.200000000000e+01	6.666230430826e+00
7.300000000000e+01	6.666207238555e+00
7.400000000000e+01	6.666184277226e+00
7.500000000000e+01	6.666161488382e+00
7.600000000000e+01	6.666138830416e+00
7.700000000000e+01	6.666116275222e+00
7.800000000000e+01	6.666093799302e+00
7.900000000000e+01	6.666071381791e+00
8.000000000000e+01	6.666049010323e+00
8.100000000000e+01	6.666026674387e+00
8.200000000000e+01	6.666004364630e+00
8.300000000000e+01	6.665982075512e+00
8.400000000000e+01	6.665959802320e+00
8.500000000000e+01	6.665937540863e+00
8.600000000000e+01	6.665915288656e+00
8.700000000000e+01	6.665893043587e+00
8.800000000000e+01	6.665870803779e+00
8.900000000000e+01	6.665848568117e+00
9.000000000000e+01	6.665826335654e+00
9.100000000000e+01	6.665804105582e+00
9.200000000000e+01	6.665781877322e+00
9.300000000000e+01	6.665759650487e+00
9.400000000000e+01	6.665737424749e+00
9.500000000000e+01	6.665715199821e+00
9.600000000000e+01	6.665692975531e+00
9.700000000000e+01	6.665670751734e+00
9.800000000000e+01	6.665648528299e+00
9.900000000000e+01	6.665626305150e+00
1.000000000000e+02	6.665604082221e+00
1.010000000000e+02	6.665581859455e+00
1.020000000000e+02	6.665559636818e+00
1.030000000000e+02	6.665537414279e+00
1.040000000000e+02	6.665515191813e+00
1.050000000000e+02	6.665492969405e+00
1.060000000000e+02	6.665470747041e+00
1.070000000000e+02	6.665448524709e+00
1.080000000000e+02	6.665426302404e+00
1.090000000000e+02	6.665404080118e+00
1.100000000000e+02	6.665381857847e+00
1.110000000000e+02	6.665359635587e+00
1.120000000000e+02	6.665337413336e+00
1.130000000000e+02	6.665315191092e+00
1.140000000000e+02	6.665292968853e+00
1.150000000000e+02	6.665270746618e+00
1.160000000000e+02	6.665248524386e+00
1.170000000000e+02	6.665226302156e+00
1.180000000000e+02	6.665204079928e+00
1.190000000000e+02	6.665181857702e+00
1.200000000000e+02	6.665159635476e+00
1.210000000000e+02	6.665137413251e+00
1.220000000000e+02	6.665115191027e+00
1.230000000000e+02	6.665092968803e+00
1.240000000000e+02	6.665070746580e+00
1.250000000000e+02	6.665048524357e+00
1.260000000000e+02	6.665026302134e+00
1.270000000000e+02	6.665004079911e+00
1.280000000000e+02	6.664981857689e+00
1.290000000000e+02	6.664959635466e+00
1.300000000000e+02	6.664937413244e+00
1.310000000000e+02	6.664915191021e+00
1.320000000000e+02	6.664892968799e+00
1.330000000000e+02	6.664870746577e+00
1.340000000000e+02	6.664848524354e+00
1.350000000000e+02	6.664826302132e+00
1.360000000000e+02	6.664804079910e+00
1.370000000000e+02	6.664781857687e+00
1.380000000000e+02	6.664759635465e+00
1.390000000000e+02	6.664737413243e+00
1.400000000000e+02	6.664715191021e+00
1.410000000000e+02	6.664692968798e+00
1.420000000000e+02	6.664670746576e+00
1.430000000000e+02	6.664648524354e+00
1.440000000000e+02	6.664626302132e+00
1.450000000000e+02	6.664604079910e+00
1.460000000000e+02	6.664581857687e+00
1.470000000000e+02	6.664559635465e+00
1.480000000000e+02	6.664537413243e+00
1.490000000000e+02	6.664515191021e+00
1.500000000000e+02	6.664492968798e+00
1.510000000000e+02	6.664470746576e+00
