x	y1	y2
1.000000000000e+02	2.248568560051e+01	-9.113910868559e+01
1.059560179278e+02	2.198307765768e+01	-9.120694976204e+01
1.122667773511e+02	2.148045801627e+01	-9.127883062353e+01
1.189534067370e+02	2.097782524159e+01	-9.135499172089e+01
1.260382929680e+02	2.047517772311e+01	-9.143568779603e+01
1.335451562930e+02	1.997251365284e+01	-9.152118872738e+01
1.414991297435e+02	1.946983100116e+01	-9.161178042464e+01
1.499268432786e+02	1.896712748970e+01	-9.170776577551e+01
1.588565129428e+02	1.846440056083e+01	-9.180946564724e+01
1.683180353331e+02	1.796164734352e+01	-9.191721994607e+01
1.783430876932e+02	1.745886461494e+01	-9.203138873759e+01
1.889652339691e+02	1.695604875742e+01	-9.215235343120e+01
2.002200371816e+02	1.645319571016e+01	-9.228051803213e+01
2.121451784911e+02	1.595030091500e+01	-9.241631046437e+01
2.247805833549e+02	1.544735925566e+01	-9.256018396798e+01
2.381685551976e+02	1.494436498951e+01	-9.271261857465e+01
2.523539170435e+02	1.444131167106e+01	-9.287412266483e+01
2.673841615840e+02	1.393819206616e+01	-9.304523461052e+01
2.833096101839e+02	1.343499805581e+01	-9.322652450715e+01
3.001835813576e+02	1.293172052820e+01	-9.341859599842e+01
3.180625692794e+02	1.242834925781e+01	-9.362208819757e+01
3.370064329272e+02	1.192487276980e+01	-9.383767770872e+01
3.570785964900e+02	1.142127818806e+01	-9.406608075134e+01
3.783462617132e+02	1.091755106501e+01	-9.430805539083e+01
4.008806328898e+02	1.041367519083e+01	-9.456440387782e+01
4.247571552537e+02	9.909632379945e+00	-9.483597509804e+01
4.500557675700e+02	9.405402231946e+00	-9.512366713394e+01
4.768611697714e+02	8.900961863999e+00	-9.542842993861e+01
5.052631065336e+02	8.396285611550e+00	-9.575126812089e+01
5.353566677411e+02	7.891344693620e+00	-9.609324383973e+01
5.672426068492e+02	7.386106838746e+00	-9.645547980359e+01
6.010276782070e+02	6.880535867143e+00	-9.683916236900e+01
6.368249944719e+02	6.374591224268e+00	-9.724554472945e+01
6.747544053111e+02	5.868227460503e+00	-9.767595018299e+01
7.149428986598e+02	5.361393651194e+00	-9.813177546299e+01
7.575250258772e+02	4.854032750784e+00	-9.861449411209e+01
8.026433522257e+02	4.346080874295e+00	-9.912565987430e+01
8.504489341803e+02	3.837466498882e+00	-9.966691007365e+01
9.011018251665e+02	3.328109577738e+00	-1.002399689407e+02
9.547716114208e+02	2.817920558143e+00	-1.008466508398e+02
1.011637979766e+03	2.306799295113e+00	-1.014888633392e+02
1.071891319205e+03	1.794633851779e+00	-1.021686100556e+02
1.135733358343e+03	1.281299177536e+00	-1.028879931916e+02
1.203377840778e+03	7.666556549981e-01	-1.036492156664e+02
1.275051240713e+03	2.505475071647e-01	-1.044545827288e+02
1.350993521198e+03	-2.671989431689e-01	-1.053065029151e+02
1.431458937523e+03	-7.867771686289e-01	-1.062074881993e+02
1.516716888471e+03	-1.308402492320e+00	-1.071601531555e+02
1.607052818262e+03	-1.832314305612e+00	-1.081672129290e+02
1.702769172226e+03	-2.358778448379e+00	-1.092314797854e+02
1.804186409392e+03	-2.888089747251e+00	-1.103558579794e+02
1.911644075386e+03	-3.420574702076e+00	-1.115433366570e+02
2.025501939231e+03	-3.956594304115e+00	-1.127969804797e+02
2.146141197858e+03	-4.496546961215e+00	-1.141199176360e+02
2.273965752358e+03	-5.040871495295e+00	-1.155153248877e+02
2.409403560240e+03	-5.590050165756e+00	-1.169864092910e+02
2.552908068240e+03	-6.144611658863e+00	-1.185363862342e+02
2.704959730463e+03	-6.705133967936e+00	-1.201684534550e+02
2.866067616948e+03	-7.272247072423e+00	-1.218857607388e+02
3.036771118035e+03	-7.846635306256e+00	-1.236913750695e+02
3.217641750251e+03	-8.429039287954e+00	-1.255882410986e+02
3.409285069747e+03	-9.020257267800e+00	-1.275791369360e+02
3.612342699709e+03	-9.621145732557e+00	-1.296666254375e+02
3.827494478516e+03	-1.023261909725e+01	-1.318530013783e+02
4.055460735841e+03	-1.085564830865e+01	-1.341402351562e+02
4.297004704321e+03	-1.149125818842e+01	-1.365299139551e+02
4.552935074867e+03	-1.214052335771e+01	-1.390231816076e+02
4.824108704165e+03	-1.280456261115e+01	-1.416206787103e+02
5.111433483440e+03	-1.348453164819e+01	-1.443224848466e+02
5.415871378079e+03	-1.418161412396e+01	-1.471280650221e+02
5.738441648302e+03	-1.489701104887e+01	-1.500362226024e+02
6.080224261649e+03	-1.563192864465e+01	-1.530450611186e+02
6.442363508721e+03	-1.638756484849e+01	-1.561519572541e+02
