x	y1	y2
1.000000000000e+02	4.469882880949e+00	-1.139108685586e+00
1.059560179278e+02	4.469787500940e+00	-1.206949762043e+00
1.122667773511e+02	4.469680422336e+00	-1.278830623535e+00
1.189534067370e+02	4.469560210475e+00	-1.354991720893e+00
1.260382929680e+02	4.469425254808e+00	-1.435687796026e+00
1.335451562930e+02	4.469273747349e+00	-1.521188727376e+00
1.414991297435e+02	4.469103658485e+00	-1.611780424642e+00
1.499268432786e+02	4.468912709835e+00	-1.707765775511e+00
1.588565129428e+02	4.468698343783e+00	-1.809465647239e+00
1.683180353331e+02	4.468457689287e+00	-1.917219946072e+00
1.783430876932e+02	4.468187523521e+00	-2.031388737587e+00
1.889652339691e+02	4.467884228817e+00	-2.152353431195e+00
2.002200371816e+02	4.467543744366e+00	-2.280518032132e+00
2.121451784911e+02	4.467161512022e+00	-2.416310464367e+00
2.247805833549e+02	4.466732415498e+00	-2.560183967983e+00
2.381685551976e+02	4.466250712159e+00	-2.712618574646e+00
2.523539170435e+02	4.465709956522e+00	-2.874122664827e+00
2.673841615840e+02	4.465102914445e+00	-3.045234610519e+00
2.833096101839e+02	4.464421466907e+00	-3.226524507153e+00
3.001835813576e+02	4.463656502113e+00	-3.418595998416e+00
3.180625692794e+02	4.462797794535e+00	-3.622088197568e+00
3.370064329272e+02	4.461833869335e+00	-3.837677708724e+00
3.570785964900e+02	4.460751850415e+00	-4.066080751338e+00
3.783462617132e+02	4.459537290174e+00	-4.308055390826e+00
4.008806328898e+02	4.458173978806e+00	-4.564403877822e+00
4.247571552537e+02	4.456643730739e+00	-4.835975098037e+00
4.500557675700e+02	4.454926145553e+00	-5.123667133942e+00
4.768611697714e+02	4.452998340421e+00	-5.428429938609e+00
5.052631065336e+02	4.450834650786e+00	-5.751268120893e+00
5.353566677411e+02	4.448406295670e+00	-6.093243839731e+00
5.672426068492e+02	4.445681003610e+00	-6.455479803592e+00
6.010276782070e+02	4.442622594821e+00	-6.839162368997e+00
6.368249944719e+02	4.439190514760e+00	-7.245544729445e+00
6.747544053111e+02	4.435339313809e+00	-7.675950182990e+00
7.149428986598e+02	4.431018067314e+00	-8.131775462989e+00
7.575250258772e+02	4.426169729718e+00	-8.614494112093e+00
8.026433522257e+02	4.420730416043e+00	-9.125659874304e+00
8.504489341803e+02	4.414628603445e+00	-9.666910073649e+00
9.011018251665e+02	4.407784245114e+00	-1.023996894073e+01
9.547716114208e+02	4.400107788334e+00	-1.084665083983e+01
1.011637979766e+03	4.391499088117e+00	-1.148886333917e+01
1.071891319205e+03	4.381846207598e+00	-1.216861005564e+01
1.135733358343e+03	4.371024096169e+00	-1.288799319156e+01
1.203377840778e+03	4.358893136445e+00	-1.364921566639e+01
1.275051240713e+03	4.345297551426e+00	-1.445458272880e+01
1.350993521198e+03	4.330063663906e+00	-1.530650291513e+01
