x	y1	y2
9.111627561155e+04	2.501902852405e+01	4.198100765000e+01
1.023531021899e+05	2.227288729053e+01	3.737220467217e+01
1.149756995398e+05	1.982830129709e+01	3.326938839892e+01
1.291549665015e+05	1.765217299670e+01	2.961701031477e+01
1.450828778496e+05	1.571503951964e+01	2.636562044019e+01
1.629750834621e+05	1.399067377076e+01	2.347119782246e+01
1.830738280295e+05	1.245572933595e+01	2.089455453073e+01
2.056512308349e+05	1.108942438945e+01	1.860080508599e+01
2.310129700083e+05	9.873260322516e+00	1.655889414239e+01
2.595024211400e+05	8.790771283070e+00	1.474117602513e+01
2.915053062825e+05	7.827301234949e+00	1.312304043238e+01
3.274549162878e+05	6.969805517223e+00	1.168257923328e+01
3.678379771829e+05	6.206674215647e+00	1.040028985109e+01
4.132012400115e+05	5.527574952977e+00	9.258811215129e+00
4.641588833613e+05	4.923312967096e+00	8.242688706945e+00
5.214008288000e+05	4.385706578906e+00	7.338164917835e+00
5.857020818057e+05	3.907476358880e+00	6.532993384983e+00
6.579332246576e+05	3.482146484658e+00	5.816272784155e+00
7.390722033526e+05	3.103956944458e+00	5.178299333962e+00
8.302175681320e+05	2.767785384274e+00	4.610435413221e+00
9.326033468832e+05	2.469077522616e+00	4.104992612352e+00
1.047615752790e+06	2.203785166252e+00	3.655127635092e+00
1.176811952435e+06	1.968310955405e+00	3.254749640639e+00
1.321941148466e+06	1.759459048270e+00	2.898437771041e+00
1.484968262254e+06	1.574391023988e+00	2.581367746270e+00
1.668100537200e+06	1.410586342231e+00	2.299246531785e+00
1.873817422860e+06	1.265806749184e+00	2.048254192177e+00
2.104904144512e+06	1.138064068552e+00	1.824992141001e+00
2.364489412645e+06	1.025590869058e+00	1.626437082524e+00
2.656087782947e+06	9.268135662799e-01	1.449900016755e+00
2.983647240283e+06	8.403276080401e-01	1.292989745842e+00
3.351602650939e+06	7.648745197856e-01	1.153580378397e+00
3.764935806792e+06	6.993207540213e-01	1.029782379227e+00
4.229242874389e+06	6.426384859517e-01	9.199167559872e-01
4.750810162103e+06	5.938886928250e-01	8.224920118367e-01
5.336699231206e+06	5.522069886943e-01	7.361835252420e-01
5.994842503189e+06	5.167926882276e-01	6.598150453437e-01
6.734150657751e+06	4.869013899136e-01	5.923420155776e-01
7.564633275546e+06	4.618410053117e-01	5.328364617756e-01
8.497534359086e+06	4.409707022165e-01	4.804732074255e-01
9.545484566618e+06	4.237018219425e-01	4.345172129559e-01
1.072267222010e+07	4.094996186669e-01	3.943118834353e-01
1.204503540259e+07	3.978847229986e-01	3.592682547277e-01
1.353047774580e+07	3.884335179823e-01	3.288550528685e-01
1.519911082953e+07	3.807770193625e-01	3.025897181045e-01
1.707352647471e+07	3.745982415944e-01	2.800305747802e-01
1.917910261672e+07	3.696283139153e-01	2.607703806863e-01
2.154434690032e+07	3.656417544779e-01	2.444314708939e-01
2.420128264794e+07	3.624513325476e-01	2.306626010001e-01
2.718588242733e+07	3.599028907924e-01	2.191374041865e-01
3.053855508833e+07	3.578704049422e-01	2.095541551766e-01
3.430469286315e+07	3.562514588168e-01	2.016363552910e-01
3.853528593711e+07	3.549632273313e-01	1.951335799989e-01
4.328761281083e+07	3.539389956948e-01	1.898220861090e-01
4.862601580065e+07	3.531251996446e-01	1.855048322284e-01
5.462277217684e+07	3.524789457121e-01	1.820107636309e-01
6.135907273413e+07	3.519659577310e-01	1.791933905348e-01
6.892612104350e+07	3.515588918728e-01	1.769288090543e-01
7.742636826811e+07	3.512359640643e-01	1.751133678019e-01
8.697490026178e+07	3.509798382690e-01	1.736611825931e-01
9.770099572992e+07	3.507767301280e-01	1.725016679515e-01
1.097498765493e+08	3.506156868321e-01	1.715772069715e-01
