x	y1	y2	y3	y4	y5	y6
1.000000000000e+05	3.406775635361e+01	4.265293821299e+01	6.121795652128e+00	1.550960114913e-01	3.605812311480e+00	1.139754844823e+01
2.000000000000e+05	2.451940146614e+00	1.756639903498e+01	5.556087141748e+00	6.124565658411e-01	2.891632262438e+00	1.212382624640e+01
3.000000000000e+05	1.110150930496e+01	1.065395121094e+01	6.525955570947e+00	1.169467391564e+00	3.196949638188e+00	1.212437583369e+01
5.000000000000e+05	8.685782175750e+00	8.835373344155e+00	3.298488751778e+00	2.239033433136e-01	4.688702981000e+00	1.194141643833e+01
1.000000000000e+06	6.661290721942e+00	6.544997130993e+00	2.442590288165e+00	1.536676898138e-01	4.779762267004e+00	1.197148406294e+01
1.200000000000e+06	4.756503499706e+00	4.624486376488e+00	1.659681124921e+00	1.354280672164e-01	4.801109175182e+00	1.196956378496e+01
1.400000000000e+06	3.952060184973e+00	3.746784525942e+00	1.441160601237e+00	1.358575305002e-01	4.803238730377e+00	1.197208343581e+01
1.500000000000e+06	4.182044005411e+00	3.687966996744e+00	1.584457807302e+00	1.476760903211e-01	4.794207001445e+00	1.198026834639e+01
1.700000000000e+06	3.223028225392e+00	2.953605904635e+00	1.348701408427e+00	1.608648225828e-01	4.802511506166e+00	1.199469151479e+01
2.000000000000e+06	2.855731181812e+00	2.548269889848e+00	7.702896024361e-01	2.264379260732e-01	4.824051740247e+00	1.201662116452e+01
2.500000000000e+06	2.190229088682e+00	2.032799849983e+00	5.850434894242e-01	3.078506142808e-01	4.864914771894e+00	1.201560488698e+01
2.770000000000e+06	2.517659477021e+00	2.420406148651e+00	6.897031924550e-01	3.359594929395e-01	4.861787913450e+00	1.202138422386e+01
