x	y1	y2
1.918653994799e+02	8.449662368856e+01	4.088523167874e-01
1.952427923679e+02	8.474190408204e+01	4.081205228968e-01
1.981865763664e+02	8.494720004917e+01	4.075770737679e-01
2.015597373247e+02	8.518185270388e+01	4.067692702629e-01
2.051782906055e+02	8.543022364786e+01	4.057793536538e-01
2.085521370173e+02	8.565692774391e+01	4.048099785058e-01
2.128522545099e+02	8.594741073415e+01	4.032297298408e-01
2.162238061428e+02	8.617229755716e+01	4.018554642695e-01
2.205030173063e+02	8.645166104949e+01	4.000439160826e-01
2.247665673494e+02	8.672268486837e+01	3.981853170020e-01
2.294968217611e+02	8.701524667226e+01	3.960655703180e-01
2.337166815996e+02	8.727049038035e+01	3.940831604136e-01
2.384438067675e+02	8.754962358965e+01	3.917846937062e-01
2.433973252773e+02	8.783329197637e+01	3.893491908968e-01
2.483060210943e+02	8.809767624922e+01	3.872035370580e-01
2.538943588734e+02	8.837780935228e+01	3.851501691404e-01
2.592382431030e+02	8.862510785099e+01	3.836051803581e-01
2.654973566532e+02	8.889631935540e+01	3.820879333183e-01
2.710466086864e+02	8.910859933407e+01	3.814963561774e-01
2.779496014118e+02	8.935010155347e+01	3.812478272743e-01
2.848184108734e+02	8.956577612296e+01	3.815887736365e-01
2.916728854179e+02	8.975417966083e+01	3.826642727627e-01
2.992067337036e+02	8.994961343684e+01	3.839516891332e-01
3.067305088043e+02	9.012869507284e+01	3.855595573108e-01
3.148923218250e+02	9.030575923678e+01	3.876709482309e-01
3.236601948738e+02	9.048420201889e+01	3.900499877119e-01
3.327058553696e+02	9.065438682366e+01	3.927212103040e-01
3.421128988266e+02	9.080990013034e+01	3.960945055020e-01
3.528132438660e+02	9.097615945591e+01	3.999847296161e-01
3.637571334839e+02	9.112483804650e+01	4.045453370329e-01
3.752451837063e+02	9.126157557551e+01	4.098671629740e-01
3.872182965279e+02	9.139168399880e+01	4.156295154881e-01
4.006217420101e+02	9.151634588614e+01	4.227253935099e-01
4.146479666233e+02	9.162760443435e+01	4.307511727002e-01
4.299389123917e+02	9.173283214494e+01	4.399540280251e-01
4.466752111912e+02	9.182941271263e+01	4.506320004036e-01
4.637382626534e+02	9.190807246232e+01	4.622922703467e-01
4.828803837299e+02	9.197320094422e+01	4.764062556071e-01
5.038507580757e+02	9.202366104729e+01	4.928466266372e-01
5.259826779366e+02	9.206100286742e+01	5.109516426784e-01
5.513784885406e+02	9.207904575849e+01	5.331943542644e-01
5.784857273102e+02	9.207550833939e+01	5.584370735643e-01
6.081447601318e+02	9.205497173909e+01	5.873059962801e-01
6.418977975845e+02	9.200723053918e+01	6.222381489296e-01
6.791458725929e+02	9.192216259877e+01	6.639586174458e-01
7.207155227661e+02	9.180152432488e+01	7.136485898184e-01
7.680081129074e+02	9.162097594604e+01	7.757555291646e-01
8.222368359566e+02	9.137495609417e+01	8.534235783441e-01
8.850592374802e+02	9.102468576489e+01	9.546466150650e-01
9.582344889641e+02	9.056755275445e+01	1.085019624187e+00
1.045326352119e+03	9.004195878180e+01	1.247463074872e+00
1.149462223053e+03	8.948054709628e+01	1.444547408594e+00
