x	y1	y2
1.911672800779e+02	8.834680775146e+01	2.909386717509e-01
1.945258677006e+02	8.841640619208e+01	2.938927586457e-01
1.974601149559e+02	8.847488308278e+01	2.964895039977e-01
2.008230984211e+02	8.855418238903e+01	2.990422038816e-01
2.044171988964e+02	8.863918214731e+01	3.016797900075e-01
2.077792435884e+02	8.872172014435e+01	3.039803147452e-01
2.120673358440e+02	8.884027493163e+01	3.063880077218e-01
2.154392153025e+02	8.893355470278e+01	3.081820313644e-01
2.197025418282e+02	8.905904376890e+01	3.100886110438e-01
2.239576876163e+02	8.919150224882e+01	3.116155689722e-01
2.286819219589e+02	8.933598701876e+01	3.132229222430e-01
2.328829318285e+02	8.946614501730e+01	3.144413878947e-01
2.376020848751e+02	8.960805666406e+01	3.157854871610e-01
2.425371855497e+02	8.975345135304e+01	3.171107422620e-01
2.474382221699e+02	8.989112718653e+01	3.184732541607e-01
2.530280351639e+02	9.004362529070e+01	3.199701075805e-01
2.583636045456e+02	9.017698483815e+01	3.216433457024e-01
2.646209299564e+02	9.033008214774e+01	3.234815284145e-01
2.701565325260e+02	9.045360976057e+01	3.253511060265e-01
2.770560383797e+02	9.059860233348e+01	3.277728054322e-01
2.839204370975e+02	9.072738245630e+01	3.305278003584e-01
2.907602787018e+02	9.084136136228e+01	3.336170892534e-01
2.982670664787e+02	9.095833546042e+01	3.370945436694e-01
3.057791292667e+02	9.105909052247e+01	3.410292594853e-01
3.139189481735e+02	9.115505739491e+01	3.456259506088e-01
3.226736187935e+02	9.124387241310e+01	3.509642521485e-01
3.316791653633e+02	9.132195096015e+01	3.568241353498e-01
3.410592377186e+02	9.138564364172e+01	3.635375304548e-01
3.517263829708e+02	9.144521949431e+01	3.715693201048e-01
3.626259565353e+02	9.148467093169e+01	3.806296813709e-01
3.740726709366e+02	9.151551607423e+01	3.905331013914e-01
3.859932720661e+02	9.153158026782e+01	4.015564352250e-01
3.993159830570e+02	9.152528711731e+01	4.150721450629e-01
4.132701158524e+02	9.151079527075e+01	4.296556786622e-01
4.284662306309e+02	9.149057674763e+01	4.458040521041e-01
4.450637400150e+02	9.144634368957e+01	4.647902842649e-01
4.619444608688e+02	9.139734093029e+01	4.844866075721e-01
4.808923304081e+02	9.133832698482e+01	5.070194644508e-01
5.016121268272e+02	9.128695482443e+01	5.310230452462e-01
5.233797430992e+02	9.121776338235e+01	5.574641084527e-01
5.482912063599e+02	9.112355828346e+01	5.891348227279e-01
5.747416615486e+02	9.100795715627e+01	6.244348041177e-01
6.035442352295e+02	9.086161207333e+01	6.651736580334e-01
6.360743045807e+02	9.067717346112e+01	7.138282673464e-01
6.716972589493e+02	9.045560670487e+01	7.702507285791e-01
7.111097574234e+02	9.018122277297e+01	8.373336297351e-01
7.553912401199e+02	8.985607263734e+01	9.171160824302e-01
8.055542111397e+02	8.948831844814e+01	1.011092077500e+00
8.626934289932e+02	8.910658806358e+01	1.118461254623e+00
9.281389117241e+02	8.864399032192e+01	1.249821977451e+00
1.004478454590e+03	8.792015102614e+01	1.435423992537e+00
1.093419909477e+03	8.692855805618e+01	1.688450513311e+00
