x	y1	y2
1.796678006649e+02	5.707153391549e+01	1.462273236439e+00
1.824068725109e+02	5.729503625105e+01	1.467189782359e+00
1.847843676805e+02	5.748994918429e+01	1.471162247897e+00
1.875447779894e+02	5.770926771365e+01	1.476187860148e+00
1.905233412981e+02	5.795169921071e+01	1.481271634619e+00
1.933092623949e+02	5.816175362665e+01	1.486761464518e+00
1.968945264816e+02	5.843966503737e+01	1.493315356326e+00
1.996905803680e+02	5.864392012202e+01	1.498767486241e+00
2.032602727413e+02	5.890012301996e+01	1.505939660498e+00
2.068088799715e+02	5.915443778831e+01	1.512716984027e+00
2.107622325420e+02	5.941737796509e+01	1.521179357107e+00
2.142699658871e+02	5.965340361324e+01	1.528102413003e+00
2.181986421347e+02	5.990088975976e+01	1.536523144620e+00
2.223050743341e+02	6.015212165968e+01	1.545300178441e+00
2.263672351837e+02	6.038717301750e+01	1.554400248030e+00
2.309840917587e+02	6.064978843966e+01	1.564521329312e+00
2.353895902634e+02	6.088797297825e+01	1.574482929489e+00
2.405180782080e+02	6.115298656759e+01	1.586229270600e+00
2.450564950705e+02	6.137786824327e+01	1.596730064789e+00
2.506686151028e+02	6.164168012662e+01	1.609925611694e+00
2.562132179737e+02	6.188518980593e+01	1.623374468585e+00
2.617150545120e+02	6.211155951121e+01	1.637021271861e+00
2.677145898342e+02	6.233988566915e+01	1.652375841245e+00
2.736529707909e+02	6.254415924970e+01	1.668345200230e+00
2.800574004650e+02	6.275533770178e+01	1.685376771898e+00
2.868945002556e+02	6.295381684684e+01	1.704598260144e+00
2.938698530197e+02	6.313116775382e+01	1.725162133478e+00
3.010930120945e+02	6.329217696725e+01	1.747302823398e+00
3.092393577099e+02	6.345335793430e+01	1.772856724409e+00
3.175195753574e+02	6.358655253351e+01	1.800175280710e+00
3.261385560036e+02	6.370440323513e+01	1.829317427048e+00
3.350217342377e+02	6.379721141860e+01	1.860727494863e+00
3.448581695557e+02	6.387985569101e+01	1.896186772619e+00
3.550342917442e+02	6.393506306052e+01	1.934374066790e+00
3.659772872925e+02	6.396935143179e+01	1.976534009881e+00
3.777138590813e+02	6.397234915312e+01	2.023547774665e+00
3.894181251526e+02	6.394196099031e+01	2.072353221792e+00
4.022981822491e+02	6.387494995058e+01	2.128050248917e+00
4.160576164722e+02	6.376245442075e+01	2.190265743478e+00
4.302618205547e+02	6.360765069477e+01	2.257186424395e+00
4.462693929672e+02	6.338373967978e+01	2.336616568377e+00
4.630467295647e+02	6.310582398385e+01	2.423418361318e+00
4.810976088047e+02	6.275104567258e+01	2.521926189426e+00
5.012340545654e+02	6.229791806006e+01	2.637267949126e+00
5.229789614677e+02	6.173189953107e+01	2.769551471615e+00
5.464798808098e+02	6.103567537140e+01	2.921655723728e+00
5.716569423676e+02	6.020342515097e+01	3.094732185637e+00
5.985497832298e+02	5.923177309383e+01	3.291081627050e+00
6.278224587440e+02	5.807381022920e+01	3.521511115265e+00
6.605172753334e+02	5.666859055565e+01	3.801571795308e+00
6.992290616035e+02	5.499390908191e+01	4.142148310643e+00
7.372071146965e+02	5.314542979214e+01	4.504945510384e+00
