x	y1	y2	y3	y4	y5	y6
1.000000000000e+05	2.158763639019e+01	1.974949503907e+01	1.983246711132e+01	2.887427404772e-01	1.144284862732e+01	1.144363625292e+01
2.000000000000e+05	1.149795407705e+01	1.160787941720e+01	1.168671189564e+01	7.048832022866e-01	1.258542760780e+01	1.258514222364e+01
3.000000000000e+05	7.366998303530e+00	6.611820323927e+00	6.718811273063e+00	1.482537389004e+00	1.199721363027e+01	1.201484013880e+01
5.000000000000e+05	6.321356926210e+00	5.267155624715e+00	5.354967777987e+00	8.018560335142e-02	1.180075501097e+01	1.180507034302e+01
7.000000000000e+05	5.515307643157e+00	4.289237889423e+00	4.365307328550e+00	2.281233424568e-01	1.192024348628e+01	1.191593531481e+01
1.000000000000e+06	2.964407091336e+00	2.848173083604e+00	2.909620177557e+00	1.280422565714e-01	1.192481046390e+01	1.191872509925e+01
%1.400000000000e+06	3.231620828711e+00	3.175893447937e+00	3.244167659873e+00	1.993615503556e-01	1.182485688395e+01	1.182266883093e+01
%1.500000000000e+06	3.790809242075e+00	3.309395508564e+00	3.377071275883e+00	2.478268797500e-01	1.180136696226e+01	1.180098617780e+01
1.700000000000e+06	2.710014775743e+00	2.584821824696e+00	2.611341476778e+00	2.342556069159e-01	1.181184299789e+01	1.180073385048e+01
2.000000000000e+06	1.328258145933e+00	1.302104740403e+00	1.379185760094e+00	2.754924186811e-01	1.178279473167e+01	1.178653387535e+01
2.500000000000e+06	1.261456816465e+00	8.878992367150e-01	9.583505795558e-01	4.524279210207e-01	1.177496632348e+01	1.177800031026e+01
2.770000000000e+06	1.065343841571e+00	8.419379406042e-01	9.164733554066e-01	4.203233040895e-01	1.171487187631e+01	1.171930620899e+01
